epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,25.2705,4.52224,3.48463,3.17776,0.03315,0.04137,0.6,0,0.02,0.01007,2.49378,4.11711,2.0369,1,0.000327586,0.000327586,0.000327586
2,46.4091,2.63886,1.7272,2.03914,0.3364,0.376,0.70575,0.1015,0.32336,0.16639,1.84877,2.2349,1.65292,2,0.000659829,0.000659829,0.000659829
3,67.4707,2.13343,1.64835,1.58878,0.40295,0.33897,0.58526,0.15515,0.25444,0.14669,1.84819,1.85049,1.47323,2,0.000990972,0.000990972,0.000990972
4,88.4454,1.85252,1.54632,1.45812,0.47554,0.51195,0.5574,0.40107,0.43674,0.23135,1.81121,1.44622,1.3582,4,0.00099505,0.00099505,0.00099505
5,109.775,1.72281,1.50644,1.37169,0.43305,0.50882,0.51338,0.35728,0.3779,0.21543,1.60093,1.44091,1.26435,4,0.0009934,0.0009934,0.0009934
6,130.841,1.67265,1.46634,1.30938,0.56165,0.57783,0.66629,0.44796,0.53559,0.31685,1.41794,1.23743,1.18561,6,0.00099175,0.00099175,0.00099175
7,152.087,1.49333,1.3266,1.21937,0.56896,0.62656,0.56751,0.62783,0.57148,0.38981,1.20865,1.19517,1.09448,7,0.0009901,0.0009901,0.0009901
8,173.474,1.45099,1.41121,1.24743,0.53195,0.63198,0.68242,0.41972,0.57482,0.36284,1.37033,1.30168,1.18772,7,0.00098845,0.00098845,0.00098845
9,194.741,1.53417,1.38462,1.20696,0.57116,0.62097,0.69322,0.43728,0.56613,0.38529,1.15542,1.22826,1.10228,7,0.0009868,0.0009868,0.0009868
10,215.798,1.33644,1.25666,1.15727,0.63206,0.6554,0.65095,0.6339,0.63527,0.44454,1.10385,1.07806,1.06324,10,0.00098515,0.00098515,0.00098515
11,237.06,1.26353,1.19636,1.10911,0.61323,0.62301,0.7488,0.42863,0.60262,0.42825,1.11542,1.05477,1.06239,10,0.0009835,0.0009835,0.0009835
12,258.282,1.34096,1.19834,1.14346,0.59442,0.62519,0.69903,0.44933,0.57327,0.40073,1.13069,1.10584,1.07716,10,0.00098185,0.00098185,0.00098185
13,279.58,1.26705,1.19426,1.13058,0.61111,0.67851,0.71141,0.55559,0.65082,0.41845,1.38124,1.06057,1.14937,10,0.0009802,0.0009802,0.0009802
14,300.888,1.37698,1.1871,1.14555,0.61556,0.61463,0.70243,0.48143,0.59426,0.41859,1.1517,1.0833,1.04018,10,0.00097855,0.00097855,0.00097855
15,322.356,1.33511,1.19593,1.10621,0.6033,0.62977,0.71113,0.48946,0.60103,0.4193,1.20352,1.04314,1.07967,10,0.0009769,0.0009769,0.0009769
16,343.853,1.28579,1.16842,1.11524,0.61192,0.70781,0.70138,0.58072,0.64777,0.45272,1.09779,1.02271,1.02987,16,0.00097525,0.00097525,0.00097525
17,365.761,1.26776,1.17144,1.09307,0.61779,0.63526,0.79979,0.44253,0.62553,0.43584,1.15057,1.05837,1.04441,16,0.0009736,0.0009736,0.0009736
18,387.158,1.22784,1.11795,1.0767,0.62775,0.59772,0.73881,0.43958,0.59192,0.42635,1.06521,1.042,1.03284,16,0.00097195,0.00097195,0.00097195
19,408.6,1.14014,1.12199,1.06679,0.62765,0.65785,0.71795,0.53683,0.63749,0.46317,1.03586,0.99121,1.0187,19,0.0009703,0.0009703,0.0009703
20,430.096,1.12946,1.10347,1.02988,0.66936,0.66146,0.72563,0.60527,0.6745,0.5018,0.97805,0.9545,0.99177,20,0.00096865,0.00096865,0.00096865
21,451.808,1.1603,1.09168,1.05933,0.67801,0.63947,0.77381,0.52592,0.65571,0.48749,0.93536,0.94855,1.00035,20,0.000967,0.000967,0.000967
22,473.311,1.19402,1.10349,1.04474,0.6433,0.67065,0.73329,0.56108,0.66292,0.48431,1.02623,0.98132,0.99516,20,0.00096535,0.00096535,0.00096535
23,494.967,1.12909,1.07548,1.02053,0.65455,0.64337,0.77887,0.48754,0.64,0.46895,0.99858,0.97376,1.00141,20,0.0009637,0.0009637,0.0009637
24,516.379,1.17821,1.09962,1.04993,0.65453,0.66395,0.72036,0.57376,0.65732,0.46806,1.04753,0.98803,1.00723,20,0.00096205,0.00096205,0.00096205
25,537.943,1.2253,1.10013,1.06842,0.65541,0.62849,0.74534,0.54976,0.62859,0.46094,0.98922,0.98132,0.98147,20,0.0009604,0.0009604,0.0009604
26,559.562,1.12071,1.04952,1.03434,0.66803,0.64706,0.7777,0.50465,0.6556,0.46484,1.13646,0.99101,1.01416,20,0.00095875,0.00095875,0.00095875
27,581.193,1.13585,1.0225,1.01366,0.66733,0.6623,0.7114,0.61378,0.6773,0.49984,0.99803,0.96011,0.99068,20,0.0009571,0.0009571,0.0009571
28,602.898,1.11526,1.01656,1.01773,0.69283,0.67251,0.76618,0.58688,0.69039,0.50743,0.97747,0.9377,0.98781,28,0.00095545,0.00095545,0.00095545
29,624.626,1.23549,1.10824,1.05637,0.65044,0.65774,0.71489,0.59704,0.66135,0.47662,1.01814,0.99537,0.99052,28,0.0009538,0.0009538,0.0009538
30,646.097,1.16983,1.06772,1.01943,0.62982,0.6379,0.69574,0.55323,0.62547,0.47608,0.89508,0.93754,0.95044,28,0.00095215,0.00095215,0.00095215
31,667.472,1.11178,1.07132,0.99579,0.6507,0.628,0.69792,0.56154,0.61008,0.45997,0.95057,0.98527,0.96558,28,0.0009505,0.0009505,0.0009505
32,689.099,1.08811,1.01144,0.9919,0.62777,0.67188,0.75009,0.55176,0.66391,0.49339,0.97912,0.9198,0.96728,28,0.00094885,0.00094885,0.00094885
33,710.483,1.09832,1.01053,1.00113,0.68407,0.64452,0.74828,0.58884,0.67738,0.52192,0.89383,0.90959,0.96246,33,0.0009472,0.0009472,0.0009472
34,732.224,1.07291,0.99592,0.9906,0.62692,0.65383,0.71407,0.57586,0.64943,0.49419,0.89011,0.91372,0.95029,33,0.00094555,0.00094555,0.00094555
