epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,63.3163,3.9001,4.89986,3.55341,0.06476,0.05144,0.2956,0.00403,0.04022,0.02162,2.68719,5.89681,4.86721,1,0.00033156,0.00033156,0.00033156
2,123.619,2.39845,3.43134,2.55124,0.18982,0.34246,0.70818,0.10507,0.23897,0.12757,1.92068,2.44,2.17363,2,0.000663248,0.000663248,0.000663248
3,183.954,2.28975,2.75296,2.3473,0.28349,0.34707,0.80384,0.07619,0.2732,0.1286,1.88408,2.33721,2.12489,3,0.000993286,0.000993286,0.000993286
4,244.261,2.00574,3.88496,2.1335,0.33724,0.38129,0.72371,0.10664,0.28431,0.0872,2.10981,2.28066,2.17456,3,0.000992575,0.000992575,0.000992575
5,304.592,2.07708,3.40549,2.14376,0.3603,0.41808,0.84633,0.01854,0.3222,0.1881,1.6316,2.21488,1.83058,5,0.0009901,0.0009901,0.0009901
6,364.666,1.85017,2.64459,1.98368,0.33831,0.49386,0.88257,0.08273,0.33684,0.2248,1.39446,2.00071,1.64784,6,0.000987625,0.000987625,0.000987625
7,424.649,1.71055,2.62293,1.87251,0.44063,0.48319,0.63669,0.26966,0.3934,0.26542,1.37361,1.70203,1.5955,7,0.00098515,0.00098515,0.00098515
8,484.655,1.74264,2.56188,1.86777,0.42408,0.50609,0.64774,0.09652,0.39919,0.23783,1.48861,1.73605,1.65891,7,0.000982675,0.000982675,0.000982675
9,543.963,1.77194,2.82768,1.86182,0.24952,0.46763,0.7249,0.04746,0.27951,0.16617,1.55052,2.21688,1.72407,7,0.0009802,0.0009802,0.0009802
10,604.153,1.62527,2.33457,1.73204,0.41239,0.49293,0.57048,0.15197,0.37905,0.24599,1.27424,1.76457,1.51167,7,0.000977725,0.000977725,0.000977725
11,664.141,1.58186,2.52752,1.72268,0.47372,0.45468,0.948,0.02389,0.39935,0.28092,1.29302,2.13116,1.5515,11,0.00097525,0.00097525,0.00097525
12,724.521,1.5601,2.66924,1.76036,0.45069,0.51729,0.83218,0.0621,0.41535,0.28389,1.22202,1.63147,1.46052,12,0.000972775,0.000972775,0.000972775
13,784.172,1.48676,1.92511,1.68477,0.4623,0.51723,0.71317,0.17602,0.45838,0.30294,1.29537,1.63175,1.52233,13,0.0009703,0.0009703,0.0009703
14,844.218,1.59118,2.40267,1.6911,0.43798,0.51119,0.68036,0.1663,0.40981,0.27068,1.29939,1.73779,1.49915,13,0.000967825,0.000967825,0.000967825
