epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,33.082,5.68005,4.38251,3.51808,0,0,0,0,0,0,5.90947,3.85487,3.49582,1,0.000326241,0.000326241,0.000326241
2,63.0107,4.21438,3.21089,2.56969,0.00033,0.00221,0.6,0,0.00016,4e-05,3.94781,3.34526,2.28449,2,0.000658486,0.000658486,0.000658486
3,94.0908,2.77481,2.37146,1.74067,0.62706,0.24051,0.74437,0.10127,0.21645,0.12116,1.79576,1.94137,1.35944,3,0.000989631,0.000989631,0.000989631
4,126.154,2.22296,2.1664,1.55577,0.49546,0.19157,0.53583,0.13927,0.10479,0.04844,1.79849,2.52687,1.32315,3,0.00099505,0.00099505,0.00099505
5,157.568,1.95644,2.01152,1.41313,0.16892,0.31173,0.56411,0.25674,0.14839,0.08917,1.39994,2.13139,1.08652,3,0.0009934,0.0009934,0.0009934
6,186.265,1.91335,1.90613,1.34153,0.32994,0.45002,0.85024,0.11947,0.33637,0.18966,1.45091,1.52386,1.10693,6,0.00099175,0.00099175,0.00099175
7,215.985,1.70419,1.69329,1.28445,0.44038,0.40664,0.62437,0.21277,0.34494,0.21199,1.48624,1.58558,1.10101,7,0.0009901,0.0009901,0.0009901
8,245.025,1.76994,1.73018,1.26589,0.36329,0.50013,0.66574,0.24844,0.37966,0.23003,1.36142,1.35354,1.05045,8,0.00098845,0.00098845,0.00098845
9,273.931,1.69483,1.5811,1.19994,0.47736,0.52874,0.66032,0.24941,0.44529,0.27307,1.3408,1.25055,1.0333,9,0.0009868,0.0009868,0.0009868
10,302.785,1.68743,1.60578,1.20488,0.42055,0.51208,0.65253,0.23064,0.43674,0.28633,1.26884,1.33977,1.00745,10,0.00098515,0.00098515,0.00098515
11,331.277,1.65533,1.54055,1.179,0.49466,0.528,0.6621,0.3432,0.47183,0.3115,1.15414,1.191,0.95865,11,0.0009835,0.0009835,0.0009835
12,359.396,1.46992,1.50379,1.13788,0.49416,0.54798,0.7651,0.1588,0.47182,0.31827,1.14638,1.23531,0.96699,12,0.00098185,0.00098185,0.00098185
13,388.025,1.44605,1.44022,1.11774,0.50399,0.55639,0.75519,0.34871,0.50899,0.35853,1.08458,1.13957,0.94003,13,0.0009802,0.0009802,0.0009802
14,416.762,1.47731,1.42766,1.10848,0.48961,0.54761,0.723,0.32426,0.47569,0.31727,1.11654,1.15587,0.93228,13,0.00097855,0.00097855,0.00097855
15,445.236,1.43136,1.49705,1.11184,0.47363,0.57747,0.62904,0.34356,0.48374,0.33487,1.04787,1.12923,0.91465,13,0.0009769,0.0009769,0.0009769
16,473.372,1.4077,1.42907,1.09618,0.48127,0.5801,0.7132,0.30658,0.48805,0.34549,1.0057,1.11001,0.89732,13,0.00097525,0.00097525,0.00097525
17,501.436,1.49707,1.45811,1.09672,0.51003,0.56144,0.65457,0.39969,0.49707,0.33955,1.04661,1.09065,0.90682,13,0.0009736,0.0009736,0.0009736
18,529.664,1.49178,1.48314,1.10659,0.51446,0.59057,0.67068,0.3566,0.52239,0.36068,1.02246,1.06778,0.89633,18,0.00097195,0.00097195,0.00097195
19,558.311,1.40709,1.37102,1.06755,0.53611,0.57411,0.68771,0.41916,0.54105,0.37232,1.06453,1.07052,0.90745,19,0.0009703,0.0009703,0.0009703
20,586.516,1.45728,1.45268,1.11084,0.5603,0.57714,0.72774,0.41989,0.57133,0.40527,0.99874,1.05822,0.89218,20,0.00096865,0.00096865,0.00096865
21,615.12,1.39927,1.32191,1.04642,0.57157,0.59503,0.68459,0.46703,0.58804,0.40199,1.06761,1.06308,0.90739,20,0.000967,0.000967,0.000967
22,643.446,1.45716,1.43197,1.09404,0.49733,0.58253,0.67526,0.32591,0.51675,0.35806,1.01368,1.06898,0.8843,20,0.00096535,0.00096535,0.00096535
23,672.124,1.39224,1.39428,1.07159,0.55666,0.5875,0.75569,0.39116,0.57383,0.38201,1.08168,1.06983,0.90638,20,0.0009637,0.0009637,0.0009637
