epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,15.221,6.6956,5.75939,4.10715,0,0,0.2,0,0,0,6.92449,6.43957,4.13489,1,0.00023,0.00023,0.00023
2,25.1313,6.45897,5.12365,3.78099,0,0,0.4,0,0,0,6.91212,5.97395,4.04306,2,0.000468837,0.000468837,0.000468837
3,35.2089,4.38469,3.16795,2.98762,0,0,1,0,0,0,6.83424,4.43926,3.67972,3,0.000706485,0.000706485,0.000706485
4,45.3601,2.82804,2.01498,2.03321,0.00017,9e-05,1,0,0.0001,3e-05,5.80595,4.38431,2.95759,4,0.000942946,0.000942946,0.000942946
5,55.6592,2.51136,1.87503,1.66027,0.07308,0.10916,1,0,0.04684,0.02559,2.14825,2.8526,1.48973,5,0.0009901,0.0009901,0.0009901
6,66.0954,2.28716,1.84237,1.46426,0.21872,0.27343,0.65342,0.00074,0.16124,0.09989,1.84705,2.06958,1.32179,6,0.000987625,0.000987625,0.000987625
7,76.5016,2.14505,1.77931,1.46351,0.45415,0.36608,0.85985,0.0398,0.32032,0.20759,1.6774,1.70843,1.2343,7,0.00098515,0.00098515,0.00098515
8,87.0398,1.91194,1.53647,1.28526,0.36807,0.47338,0.757,0.23323,0.37392,0.23304,1.75594,1.53991,1.22825,8,0.000982675,0.000982675,0.000982675
9,97.3521,1.86444,1.5965,1.28597,0.4143,0.50283,0.72635,0.30785,0.39927,0.2512,1.62258,1.44513,1.18662,9,0.0009802,0.0009802,0.0009802
10,107.796,1.78338,1.51646,1.24065,0.45547,0.50361,0.7454,0.31621,0.42,0.24798,1.81368,1.44099,1.22531,9,0.000977725,0.000977725,0.000977725
11,118.066,1.71183,1.4823,1.23593,0.42482,0.49039,0.67826,0.2612,0.39441,0.25831,1.52728,1.42169,1.15457,11,0.00097525,0.00097525,0.00097525
12,128.511,1.67083,1.47462,1.16209,0.41336,0.46715,0.78164,0.25381,0.38268,0.25841,1.42725,1.38834,1.11072,12,0.000972775,0.000972775,0.000972775
13,139.054,1.61766,1.46942,1.16921,0.41648,0.36712,0.54072,0.29662,0.36194,0.26421,1.39118,2.85834,1.08684,13,0.0009703,0.0009703,0.0009703
14,149.614,1.65359,1.42238,1.13398,0.42471,0.50862,0.68063,0.35153,0.42774,0.27614,1.49167,1.33722,1.11958,14,0.000967825,0.000967825,0.000967825
15,159.968,1.59611,1.37635,1.13315,0.4335,0.53706,0.69859,0.29458,0.46911,0.32429,1.34415,1.29614,1.07637,15,0.00096535,0.00096535,0.00096535
16,170.459,1.58928,1.36824,1.16187,0.48434,0.53805,0.72404,0.29553,0.47557,0.31353,1.54303,1.27626,1.11242,15,0.000962875,0.000962875,0.000962875
17,180.839,1.5063,1.30533,1.08841,0.48998,0.56345,0.71488,0.32931,0.49908,0.34141,1.33566,1.26415,1.07033,17,0.0009604,0.0009604,0.0009604
18,191.353,1.38731,1.30296,1.09,0.4997,0.5574,0.71477,0.3735,0.52385,0.36087,1.21192,1.22174,1.0473,18,0.000957925,0.000957925,0.000957925
19,202.074,1.38687,1.25209,1.07988,0.53081,0.58042,0.73473,0.3749,0.52603,0.34724,1.31756,1.19198,1.04038,18,0.00095545,0.00095545,0.00095545
20,212.563,1.50228,1.30362,1.06896,0.56005,0.55975,0.70516,0.39419,0.54775,0.37661,1.24962,1.19048,1.02573,20,0.000952975,0.000952975,0.000952975
21,223.051,1.43726,1.27089,1.08411,0.51492,0.57923,0.64416,0.45585,0.54306,0.37568,1.18633,1.24299,1.01898,20,0.0009505,0.0009505,0.0009505
22,233.278,1.40546,1.22464,1.06917,0.55429,0.59101,0.70004,0.41172,0.56424,0.38244,1.24658,1.17602,1.0353,22,0.000948025,0.000948025,0.000948025
