epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,31.7133,5.68005,4.38251,3.51808,0,0,0,0,0,0,5.90947,3.85487,3.49582,1,0.000326241,0.000326241,0.000326241
2,60.2349,4.21438,3.21089,2.56969,0.00033,0.00221,0.6,0,0.00016,4e-05,3.94781,3.34526,2.28449,2,0.000658486,0.000658486,0.000658486
3,90.6094,2.77481,2.37146,1.74067,0.62706,0.24051,0.74437,0.10127,0.21645,0.12116,1.79576,1.94137,1.35944,3,0.000989631,0.000989631,0.000989631
4,120.458,2.22296,2.1664,1.55577,0.49546,0.19157,0.53583,0.13927,0.10479,0.04844,1.79849,2.52687,1.32315,3,0.00099505,0.00099505,0.00099505
5,150.972,1.95644,2.01152,1.41313,0.16892,0.31173,0.56411,0.25674,0.14839,0.08917,1.39994,2.13139,1.08652,3,0.0009934,0.0009934,0.0009934
6,179.427,1.91335,1.90613,1.34153,0.32994,0.45002,0.85024,0.11947,0.33637,0.18966,1.45091,1.52386,1.10693,6,0.00099175,0.00099175,0.00099175
7,209.102,1.70419,1.69329,1.28445,0.44038,0.40664,0.62437,0.21277,0.34494,0.21199,1.48624,1.58558,1.10101,7,0.0009901,0.0009901,0.0009901
8,237.999,1.76994,1.73018,1.26589,0.36329,0.50013,0.66574,0.24844,0.37966,0.23003,1.36142,1.35354,1.05045,8,0.00098845,0.00098845,0.00098845
9,266.598,1.69483,1.5811,1.19994,0.47736,0.52874,0.66032,0.24941,0.44529,0.27307,1.3408,1.25055,1.0333,9,0.0009868,0.0009868,0.0009868
10,295.015,1.68743,1.60578,1.20488,0.42055,0.51208,0.65253,0.23064,0.43674,0.28633,1.26884,1.33977,1.00745,10,0.00098515,0.00098515,0.00098515
11,323.136,1.65533,1.54055,1.179,0.49466,0.528,0.6621,0.3432,0.47183,0.3115,1.15414,1.191,0.95865,11,0.0009835,0.0009835,0.0009835
12,351.063,1.46992,1.50379,1.13788,0.49416,0.54798,0.7651,0.1588,0.47182,0.31827,1.14638,1.23531,0.96699,12,0.00098185,0.00098185,0.00098185
