epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,18.2979,6.74857,5.79047,4.05978,0,0,0,0,0,0,6.95682,6.45433,4.09778,1,0.00023,0.00023,0.00023
2,31.6151,6.37763,4.62962,3.45262,0,0,0,0,0,0,6.93668,4.65372,3.9052,2,0.000468837,0.000468837,0.000468837
3,45.3694,5.09515,3.58944,2.81937,0,0,0,0,0,0,4.03935,4.03606,2.08754,3,0.000706485,0.000706485,0.000706485
4,58.8173,3.36981,2.49436,1.90054,0.08131,0.01194,0.8,0,0.04235,0.02837,4.74143,3.8646,2.1066,4,0.000942946,0.000942946,0.000942946
5,72.3214,2.61775,1.99776,1.53566,0.19435,0.36414,0.85519,0.0012,0.19309,0.10545,1.91259,2.14216,1.23785,5,0.0009901,0.0009901,0.0009901
6,86.2593,2.3147,1.85277,1.38705,0.28763,0.36786,0.56764,0.17114,0.29399,0.16926,1.83944,1.7637,1.20382,6,0.000987625,0.000987625,0.000987625
7,100.091,2.2106,1.75929,1.34454,0.62944,0.2685,0.73874,0.18181,0.25142,0.1497,1.74932,1.89693,1.13234,6,0.00098515,0.00098515,0.00098515
8,113.624,2.07203,1.7155,1.22399,0.24469,0.36815,0.74135,0.22719,0.2755,0.14181,1.95092,1.80405,1.19949,6,0.000982675,0.000982675,0.000982675
9,127.124,2.02621,1.70178,1.22591,0.34073,0.4358,0.47886,0.28827,0.34508,0.21752,1.63864,1.62465,1.12389,9,0.0009802,0.0009802,0.0009802
10,140.862,1.84445,1.6109,1.13575,0.39283,0.4594,0.54275,0.27087,0.37249,0.24652,1.51703,1.4834,1.06993,10,0.000977725,0.000977725,0.000977725
11,154.604,1.79708,1.53757,1.1463,0.38099,0.47958,0.7275,0.20722,0.40357,0.25302,1.59397,1.45512,1.12616,11,0.00097525,0.00097525,0.00097525
12,168.214,1.73941,1.5203,1.13378,0.43304,0.49877,0.69184,0.20303,0.43179,0.2888,1.47873,1.40032,1.07844,12,0.000972775,0.000972775,0.000972775
13,181.997,1.65831,1.48338,1.10275,0.3608,0.51163,0.63837,0.34201,0.41485,0.26435,1.5608,1.46019,1.07226,12,0.0009703,0.0009703,0.0009703
14,195.421,1.74819,1.51668,1.09325,0.41831,0.48657,0.63789,0.27015,0.42018,0.29051,1.38804,1.34661,1.03784,14,0.000967825,0.000967825,0.000967825
15,209.069,1.5924,1.41251,1.0773,0.42502,0.52919,0.7973,0.26692,0.45734,0.2969,1.49423,1.30538,1.05251,15,0.00096535,0.00096535,0.00096535
16,222.664,1.63503,1.43752,1.08099,0.45613,0.51645,0.76913,0.26008,0.47354,0.32841,1.37273,1.28796,1.04132,16,0.000962875,0.000962875,0.000962875
17,236.309,1.56655,1.43186,1.08413,0.41751,0.54417,0.76187,0.29111,0.46342,0.31252,1.37491,1.29083,1.03161,16,0.0009604,0.0009604,0.0009604
18,249.745,1.5843,1.40037,1.06407,0.49423,0.54779,0.69669,0.29228,0.50196,0.34178,1.27965,1.28509,1.03138,18,0.000957925,0.000957925,0.000957925
19,263.3,1.54407,1.40381,1.06567,0.46264,0.5627,0.72026,0.36865,0.50806,0.34203,1.35668,1.22782,1.02579,19,0.00095545,0.00095545,0.00095545
20,276.958,1.73495,1.5055,1.09993,0.49574,0.55247,0.67901,0.37104,0.52001,0.34256,1.38293,1.21737,1.02472,20,0.000952975,0.000952975,0.000952975
21,290.711,1.62796,1.40827,1.06858,0.51413,0.57749,0.70491,0.33605,0.5185,0.33457,1.4098,1.25272,1.01295,20,0.0009505,0.0009505,0.0009505
22,304.241,1.55921,1.3772,1.05607,0.4982,0.57366,0.63827,0.40925,0.5022,0.34322,1.3166,1.21352,1.00186,22,0.000948025,0.000948025,0.000948025
23,317.87,1.56596,1.40565,1.06517,0.51381,0.58555,0.65728,0.43841,0.53698,0.36899,1.32007,1.24629,1.00511,23,0.00094555,0.00094555,0.00094555
24,331.542,1.49236,1.36659,1.01911,0.50043,0.57782,0.69191,0.39289,0.52702,0.35464,1.27475,1.21681,0.99681,23,0.000943075,0.000943075,0.000943075
25,345.129,1.47902,1.33037,1.02423,0.47617,0.57162,0.69203,0.37913,0.51194,0.34948,1.31223,1.23208,0.99007,23,0.0009406,0.0009406,0.0009406
26,358.638,1.4069,1.27489,1.01112,0.54467,0.57659,0.7642,0.36448,0.55614,0.37534,1.31865,1.19069,0.9906,26,0.000938125,0.000938125,0.000938125
27,372.26,1.51139,1.32504,1.03219,0.56396,0.55821,0.6767,0.42479,0.54247,0.37016,1.2983,1.21299,0.98487,26,0.00093565,0.00093565,0.00093565
28,385.786,1.44539,1.29759,1.01552,0.45623,0.53779,0.65902,0.31929,0.48398,0.32911,1.23916,1.27481,0.97702,26,0.000933175,0.000933175,0.000933175
29,399.11,1.49217,1.32459,1.01776,0.5809,0.60086,0.72423,0.4071,0.57883,0.40387,1.22199,1.13811,0.97039,29,0.0009307,0.0009307,0.0009307
30,412.708,1.44532,1.28673,0.99609,0.5417,0.6038,0.75173,0.38513,0.56172,0.38952,1.2119,1.15134,0.98016,29,0.000928225,0.000928225,0.000928225
31,426.183,1.38497,1.26789,0.98368,0.51463,0.58533,0.68304,0.40707,0.5266,0.35585,1.25327,1.17522,0.97224,29,0.00092575,0.00092575,0.00092575
32,439.691,1.43264,1.30614,0.99397,0.51193,0.61733,0.64322,0.43237,0.5485,0.37626,1.19215,1.14772,0.9514,29,0.000923275,0.000923275,0.000923275
33,472.812,1.37833,1.25447,0.97961,0.58654,0.61519,0.70086,0.46608,0.58627,0.41741,1.12751,1.11008,0.95206,33,0.0009208,0.0009208,0.0009208
34,486.362,1.37745,1.24071,1.00214,0.54441,0.592,0.70808,0.39829,0.54677,0.3805,1.12591,1.11901,0.94814,33,0.000918325,0.000918325,0.000918325
35,499.675,1.36355,1.24051,0.97969,0.55348,0.57461,0.67886,0.39574,0.55371,0.39088,1.09512,1.11868,0.94095,33,0.00091585,0.00091585,0.00091585
36,513.09,1.36813,1.21956,0.98553,0.53786,0.59761,0.75226,0.37106,0.57146,0.40503,1.12268,1.129,0.9411,33,0.000913375,0.000913375,0.000913375
37,526.847,1.31237,1.19514,0.97638,0.53371,0.59818,0.70038,0.43749,0.57001,0.38319,1.23085,1.15322,0.95518,33,0.0009109,0.0009109,0.0009109
38,540.418,1.38019,1.24593,0.98579,0.57487,0.58992,0.69376,0.48141,0.57184,0.40535,1.07899,1.14274,0.92727,33,0.000908425,0.000908425,0.000908425
39,554.071,1.32209,1.21481,0.96703,0.53585,0.56016,0.64456,0.43801,0.52836,0.33612,1.24472,1.25498,0.95193,33,0.00090595,0.00090595,0.00090595
40,567.484,1.33925,1.20847,0.97067,0.5735,0.60436,0.7815,0.44473,0.61085,0.41904,1.20371,1.15036,0.95338,40,0.000903475,0.000903475,0.000903475
41,581.211,1.36349,1.2381,0.96253,0.59005,0.62758,0.69335,0.51342,0.60877,0.41841,1.11843,1.10163,0.93242,40,0.000901,0.000901,0.000901
42,594.601,1.27537,1.19629,0.95387,0.62171,0.61533,0.73914,0.47405,0.61294,0.43076,1.12704,1.09029,0.9343,42,0.000898525,0.000898525,0.000898525
43,608.535,1.30409,1.16704,0.95363,0.64597,0.64417,0.79131,0.4714,0.66202,0.47465,1.14683,1.06197,0.92746,43,0.00089605,0.00089605,0.00089605
44,622.325,1.24968,1.1678,0.95279,0.55316,0.56367,0.64732,0.44076,0.56015,0.38742,1.19535,1.16071,0.92896,43,0.000893575,0.000893575,0.000893575
45,635.756,1.24162,1.16909,0.94608,0.64755,0.64488,0.79044,0.50248,0.66304,0.4869,1.03948,1.04502,0.91341,45,0.0008911,0.0008911,0.0008911
46,649.605,1.17529,1.08811,0.92195,0.62744,0.64219,0.73162,0.53535,0.64033,0.45953,1.02223,1.05009,0.90811,45,0.000888625,0.000888625,0.000888625
47,662.996,1.23352,1.15361,0.93342,0.60969,0.63408,0.7695,0.45442,0.6359,0.46797,1.06965,1.12624,0.9134,45,0.00088615,0.00088615,0.00088615
48,676.338,1.12003,1.09938,0.92495,0.56896,0.63774,0.72236,0.43182,0.60271,0.42734,1.07561,1.07847,0.92715,45,0.000883675,0.000883675,0.000883675
49,689.718,1.20576,1.1235,0.94151,0.62762,0.68531,0.70516,0.59317,0.68834,0.51019,1.01009,1.00316,0.90677,49,0.0008812,0.0008812,0.0008812
