epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,25.1398,6.50517,5.1452,4.00922,0,0,0,0,0,0,6.74694,4.82798,3.98802,1,0.000324561,0.000324561,0.000324561
2,46.3899,5.39551,3.87232,3.36184,0,0,0,0,0,0,6.52902,4.1089,3.46582,2,0.000656266,0.000656266,0.000656266
3,97.2508,3.35045,2.49869,2.16536,0.0259,0.02452,0.8,0,0.01378,0.00815,3.67249,3.61003,2.27812,3,0.000986321,0.000986321,0.000986321
4,119.074,2.6794,2.30375,1.87992,0.30788,0.24141,0.86647,0.04684,0.22733,0.11875,2.2102,2.0787,1.67052,4,0.000992575,0.000992575,0.000992575
5,152.339,2.37357,2.10034,1.67337,0.23326,0.41023,0.72758,0.19898,0.26012,0.15324,1.82726,1.94757,1.43593,5,0.0009901,0.0009901,0.0009901
6,174.536,2.22748,1.95264,1.55648,0.38939,0.32283,0.7898,0.1359,0.30853,0.19022,1.81198,1.86417,1.41439,6,0.000987625,0.000987625,0.000987625
7,196.662,1.81849,1.77114,1.43524,0.37573,0.4374,0.85487,0.17547,0.35535,0.21855,1.57148,1.66816,1.30957,7,0.00098515,0.00098515,0.00098515
8,218.403,1.99288,1.86112,1.40642,0.35189,0.48006,0.77015,0.26282,0.37221,0.24498,1.56506,1.63165,1.25259,8,0.000982675,0.000982675,0.000982675
9,269.425,1.8356,1.73375,1.33249,0.39471,0.4974,0.85992,0.17532,0.41229,0.26628,1.53671,1.60099,1.27465,9,0.0009802,0.0009802,0.0009802
10,308.991,1.71233,1.58211,1.29544,0.37545,0.49521,0.58216,0.24461,0.39519,0.26919,1.50728,1.4934,1.23507,10,0.000977725,0.000977725,0.000977725
11,356.708,1.63028,1.56124,1.25122,0.42161,0.4811,0.76977,0.19587,0.40696,0.2794,1.46759,1.47086,1.23216,11,0.00097525,0.00097525,0.00097525
12,378.881,1.6432,1.53055,1.23779,0.41934,0.52292,0.63739,0.28373,0.4255,0.28906,1.37537,1.40797,1.1931,12,0.000972775,0.000972775,0.000972775
13,400.973,1.56178,1.43063,1.22114,0.42561,0.5312,0.62886,0.29191,0.43493,0.29893,1.32876,1.35062,1.18242,13,0.0009703,0.0009703,0.0009703
14,422.483,1.56526,1.45292,1.21509,0.49519,0.57626,0.707,0.34243,0.49429,0.33123,1.36454,1.29583,1.15681,14,0.000967825,0.000967825,0.000967825
15,458.604,1.524,1.43866,1.20937,0.46761,0.56943,0.78789,0.31977,0.49784,0.33552,1.33328,1.31417,1.1434,15,0.00096535,0.00096535,0.00096535
16,480.799,1.5149,1.41063,1.20341,0.51823,0.55134,0.72708,0.28135,0.49969,0.34263,1.28452,1.27688,1.11312,16,0.000962875,0.000962875,0.000962875
17,538.956,1.5047,1.39398,1.15412,0.53469,0.58418,0.70295,0.35776,0.53243,0.37023,1.25204,1.27693,1.10959,17,0.0009604,0.0009604,0.0009604
18,560.906,1.51214,1.43723,1.18373,0.5038,0.57673,0.80014,0.24916,0.51695,0.34687,1.24721,1.30215,1.12553,17,0.000957925,0.000957925,0.000957925
19,582.973,1.44976,1.37955,1.15715,0.53651,0.57269,0.70591,0.35079,0.52748,0.35648,1.26215,1.28116,1.08785,17,0.00095545,0.00095545,0.00095545
20,604.49,1.46539,1.34593,1.14141,0.55229,0.54846,0.73932,0.39883,0.54417,0.36551,1.33248,1.21125,1.10997,17,0.000952975,0.000952975,0.000952975
21,626.36,1.44471,1.35888,1.12061,0.53349,0.60697,0.76072,0.38042,0.55803,0.38728,1.20037,1.20635,1.0792,21,0.0009505,0.0009505,0.0009505
22,648.517,1.40733,1.37345,1.12242,0.51446,0.63243,0.79494,0.37069,0.567,0.39772,1.1889,1.1778,1.07765,22,0.000948025,0.000948025,0.000948025
23,670.458,1.37593,1.36371,1.10135,0.53928,0.58372,0.71769,0.39631,0.5424,0.37422,1.21839,1.18435,1.06722,22,0.00094555,0.00094555,0.00094555
24,692.06,1.34707,1.30665,1.0964,0.53424,0.59899,0.79344,0.36667,0.5537,0.38922,1.15378,1.18576,1.05561,22,0.000943075,0.000943075,0.000943075
25,714.103,1.34198,1.26885,1.07181,0.49966,0.60507,0.70636,0.35014,0.53314,0.37498,1.16542,1.18468,1.04476,22,0.0009406,0.0009406,0.0009406
26,748.818,1.31301,1.27527,1.07174,0.50776,0.59616,0.78033,0.35101,0.53727,0.38567,1.12461,1.17471,1.05158,22,0.000938125,0.000938125,0.000938125
27,788.297,1.33307,1.28084,1.07858,0.57418,0.63522,0.67655,0.50243,0.59039,0.41483,1.14214,1.11963,1.0467,27,0.00093565,0.00093565,0.00093565
28,810.369,1.27532,1.21885,1.06455,0.49958,0.60361,0.74696,0.33484,0.52993,0.3872,1.09791,1.22565,1.02694,27,0.000933175,0.000933175,0.000933175
29,832.005,1.32971,1.24847,1.07102,0.56698,0.59444,0.74318,0.35629,0.56342,0.40035,1.14193,1.16982,1.02311,27,0.0009307,0.0009307,0.0009307
30,867.667,1.30047,1.2151,1.05009,0.60438,0.61624,0.71598,0.45013,0.59374,0.42938,1.1318,1.10167,1.03733,30,0.000928225,0.000928225,0.000928225
31,889.685,1.24952,1.16475,1.03066,0.59118,0.63623,0.76392,0.43321,0.62539,0.4515,1.09138,1.06951,1.01265,31,0.00092575,0.00092575,0.00092575
32,911.378,1.31937,1.21379,1.04988,0.61412,0.62514,0.68518,0.54879,0.63124,0.46472,1.07628,1.07158,1.00972,32,0.000923275,0.000923275,0.000923275
33,946.067,1.30428,1.1878,1.05385,0.6287,0.63193,0.75685,0.48863,0.63438,0.45585,1.09659,1.0509,1.01045,32,0.0009208,0.0009208,0.0009208
34,967.783,1.2723,1.18584,1.03373,0.60748,0.64421,0.74162,0.45871,0.61669,0.44795,1.10074,1.05206,1.00852,32,0.000918325,0.000918325,0.000918325
35,1000.25,1.28436,1.15516,1.02544,0.60933,0.64906,0.8003,0.41533,0.64025,0.47133,1.05745,1.05078,0.99764,35,0.00091585,0.00091585,0.00091585
36,1022.1,1.23657,1.14179,1.01765,0.6319,0.63087,0.70653,0.5299,0.62986,0.45443,1.08204,1.04589,1.00046,35,0.000913375,0.000913375,0.000913375
37,1043.73,1.28262,1.20412,1.05561,0.62689,0.61161,0.71492,0.491,0.61448,0.44292,1.10537,1.04776,1.01022,35,0.0009109,0.0009109,0.0009109
38,1077.93,1.24472,1.1548,1.02981,0.62588,0.61495,0.74878,0.47253,0.62378,0.45646,1.0503,1.04333,0.98741,35,0.000908425,0.000908425,0.000908425
39,1099.46,1.23311,1.15417,1.03415,0.61084,0.63276,0.72431,0.54233,0.64102,0.46575,1.06566,1.04638,0.99611,35,0.00090595,0.00090595,0.00090595
40,1121.15,1.22303,1.14937,1.03082,0.63641,0.6327,0.73471,0.51433,0.64183,0.46088,1.07542,1.03006,0.98926,35,0.000903475,0.000903475,0.000903475
41,1142.64,1.23334,1.10928,1.00389,0.61609,0.65601,0.70699,0.54012,0.64623,0.45592,1.17667,1.06033,1.01983,35,0.000901,0.000901,0.000901
42,1164.25,1.18499,1.07229,0.99234,0.62505,0.64016,0.74194,0.48306,0.62909,0.46322,1.03935,1.01004,0.98521,35,0.000898525,0.000898525,0.000898525
43,1186.26,1.23249,1.12701,1.00955,0.61217,0.65316,0.74216,0.50791,0.64253,0.47865,1.01878,1.03816,0.9764,43,0.00089605,0.00089605,0.00089605
44,1237.01,1.23753,1.12053,0.99714,0.62541,0.64273,0.75215,0.48724,0.63168,0.46255,1.0859,1.02416,0.99797,43,0.000893575,0.000893575,0.000893575
45,1272.16,1.18222,1.13232,0.99869,0.62703,0.6259,0.73381,0.49292,0.62023,0.45067,1.04976,1.03366,0.9843,43,0.0008911,0.0008911,0.0008911
46,1293.74,1.147,1.07061,0.98347,0.64681,0.65257,0.7882,0.46107,0.66138,0.48848,1.02966,1.01979,0.9825,46,0.000888625,0.000888625,0.000888625
47,1330.66,1.21503,1.09617,0.9902,0.63795,0.65195,0.75719,0.50785,0.65427,0.47767,1.04974,1.0178,0.98689,46,0.00088615,0.00088615,0.00088615
48,1352.18,1.19309,1.11363,1.02643,0.68038,0.64374,0.76647,0.55778,0.68311,0.51824,0.99853,0.99995,0.97157,48,0.000883675,0.000883675,0.000883675
49,1374.07,1.11975,1.10608,0.99416,0.6569,0.65695,0.7564,0.55665,0.6855,0.49933,1.09185,0.99627,0.99329,48,0.0008812,0.0008812,0.0008812
50,1418.05,1.1537,1.07118,0.98134,0.65461,0.64545,0.70859,0.58639,0.67355,0.48479,1.12307,0.98886,1.00073,48,0.000878725,0.000878725,0.000878725
51,1439.53,1.15714,1.10867,0.99726,0.61797,0.62721,0.84036,0.37518,0.62229,0.45323,1.04384,1.04992,0.98667,48,0.00087625,0.00087625,0.00087625
52,1461.18,1.15461,1.0957,0.99295,0.66312,0.67454,0.72917,0.59658,0.68329,0.5071,1.03224,0.9874,0.98347,48,0.000873775,0.000873775,0.000873775
53,1482.5,1.18868,1.10476,1.00352,0.60812,0.62023,0.73146,0.45791,0.60236,0.42864,1.06769,1.0656,0.98566,48,0.0008713,0.0008713,0.0008713
54,1504.17,1.12771,1.07279,0.9786,0.62275,0.60745,0.71916,0.45134,0.59422,0.4381,1.02171,1.0586,0.97298,48,0.000868825,0.000868825,0.000868825
55,1525.87,1.11458,1.05285,0.97386,0.62751,0.6604,0.78041,0.48858,0.66402,0.49302,1.03603,0.99518,0.97896,48,0.00086635,0.00086635,0.00086635
56,1561.71,1.09696,1.05874,0.97006,0.66652,0.67243,0.74942,0.57079,0.68781,0.52503,0.98447,0.96658,0.97204,56,0.000863875,0.000863875,0.000863875
57,1583.27,1.14976,1.02524,0.9686,0.64991,0.65421,0.74595,0.53985,0.66926,0.49589,1.05428,0.97797,0.98245,56,0.0008614,0.0008614,0.0008614
58,1604.97,1.13786,1.07126,0.97898,0.6939,0.62847,0.77617,0.51267,0.66231,0.49618,0.98504,0.9516,0.96214,56,0.000858925,0.000858925,0.000858925
59,1626.23,1.11657,1.05207,0.98711,0.63302,0.63935,0.72816,0.54892,0.66203,0.48993,0.99443,0.99722,0.96924,56,0.00085645,0.00085645,0.00085645
60,1664.41,1.09815,1.01605,0.97075,0.66821,0.65204,0.74072,0.54388,0.66274,0.47648,1.05855,1.01529,0.97831,56,0.000853975,0.000853975,0.000853975
61,1686.02,1.13439,1.10352,0.96709,0.65758,0.63784,0.70561,0.57981,0.6421,0.47825,0.99786,1.00351,0.96163,56,0.0008515,0.0008515,0.0008515
62,1707.34,1.09132,1.07445,0.96411,0.68676,0.65521,0.77434,0.54164,0.67074,0.50658,0.9701,0.95303,0.95915,56,0.000849025,0.000849025,0.000849025
63,1728.89,1.12202,1.05349,0.97386,0.67343,0.66078,0.79284,0.53819,0.6884,0.5161,0.99756,0.94295,0.96987,56,0.00084655,0.00084655,0.00084655
64,1766.32,1.13451,1.03589,0.97982,0.65792,0.65072,0.7257,0.58135,0.6728,0.50033,0.98732,0.96623,0.95919,56,0.000844075,0.000844075,0.000844075
65,1814.25,1.05858,1.02689,0.97485,0.64761,0.67886,0.7066,0.62307,0.68511,0.52732,0.92822,0.94229,0.94464,65,0.0008416,0.0008416,0.0008416
66,1836.09,1.09025,1.07461,0.97828,0.66057,0.64991,0.76166,0.53895,0.65748,0.48619,1.03145,0.94484,0.9682,65,0.000839125,0.000839125,0.000839125
67,1857.59,1.10606,1.03646,0.97616,0.68115,0.66995,0.75336,0.5833,0.68504,0.51771,0.98408,0.93257,0.96146,65,0.00083665,0.00083665,0.00083665
68,1878.74,1.08528,1.0389,0.97216,0.67196,0.67759,0.78743,0.55425,0.69307,0.52481,0.94938,0.92911,0.95233,65,0.000834175,0.000834175,0.000834175
69,1900.48,1.08674,1.03245,0.97666,0.66808,0.66763,0.7858,0.51215,0.66908,0.50412,0.97278,0.93341,0.95656,65,0.0008317,0.0008317,0.0008317
70,1922.2,1.09852,1.04051,0.98427,0.61874,0.66344,0.71636,0.55931,0.64277,0.47958,0.97742,0.95513,0.9653,65,0.000829225,0.000829225,0.000829225
71,1979.44,1.05313,1.03919,0.95821,0.67642,0.644,0.73428,0.57052,0.65856,0.49107,0.97314,0.97507,0.96136,65,0.00082675,0.00082675,0.00082675
72,2014.16,1.10929,1.06651,0.95248,0.66891,0.66538,0.78007,0.56104,0.69333,0.53119,0.94479,0.94285,0.94656,72,0.000824275,0.000824275,0.000824275
73,2036.1,1.07252,1.04039,0.96805,0.67542,0.66325,0.78655,0.56006,0.69048,0.52599,0.95615,0.912,0.95364,72,0.0008218,0.0008218,0.0008218
74,2069.76,1.08374,0.99267,0.94664,0.67877,0.68219,0.77851,0.57528,0.70684,0.54456,0.94265,0.91821,0.94911,74,0.000819325,0.000819325,0.000819325
75,2091.54,1.00972,0.94137,0.94758,0.67298,0.68471,0.80316,0.52556,0.69906,0.54226,0.90994,0.90122,0.94063,74,0.00081685,0.00081685,0.00081685
76,2113.3,1.07569,0.9849,0.97038,0.71019,0.67981,0.78142,0.59823,0.72433,0.5438,1.01158,0.90229,0.96753,74,0.000814375,0.000814375,0.000814375
77,2184.51,1.10591,1.01818,0.96632,0.65646,0.6624,0.78534,0.50931,0.66235,0.50043,0.97418,0.93502,0.94988,74,0.0008119,0.0008119,0.0008119
78,2221.43,1.0427,1.00333,0.95744,0.65602,0.67613,0.71649,0.60443,0.68333,0.52887,0.90236,0.91414,0.94071,74,0.000809425,0.000809425,0.000809425
79,2243.46,1.03046,1.02354,0.95454,0.68696,0.6741,0.78113,0.56183,0.70458,0.53652,0.93971,0.9137,0.94581,74,0.00080695,0.00080695,0.00080695
80,2264.65,0.97862,0.94224,0.9352,0.67157,0.66581,0.69637,0.63955,0.69873,0.52848,0.9463,0.92254,0.95079,74,0.000804475,0.000804475,0.000804475
81,2286.47,0.97446,0.96838,0.93797,0.69773,0.66626,0.76901,0.5729,0.69844,0.53416,0.94272,0.91069,0.94714,74,0.000802,0.000802,0.000802
82,2308.16,1.07228,0.99528,0.96797,0.67755,0.70586,0.75022,0.63157,0.71666,0.51946,1.04089,0.92253,0.96025,74,0.000799525,0.000799525,0.000799525
83,2329.59,1.09748,1.02836,0.96099,0.6754,0.67459,0.76525,0.58491,0.71744,0.52656,1.00739,0.94814,0.95708,74,0.00079705,0.00079705,0.00079705
84,2366.8,1.08425,1.02212,0.96312,0.68094,0.68459,0.75845,0.5972,0.70214,0.51778,0.96077,0.89317,0.94895,74,0.000794575,0.000794575,0.000794575
85,2402.01,1.04572,0.9677,0.95998,0.70042,0.6699,0.77687,0.56115,0.688,0.53385,0.93406,0.95411,0.94525,74,0.0007921,0.0007921,0.0007921
86,2435.4,1.00677,0.96262,0.9449,0.6999,0.66071,0.77594,0.57694,0.7128,0.55042,0.92048,0.90797,0.94176,86,0.000789625,0.000789625,0.000789625
87,2457.23,1.00883,0.92084,0.93583,0.69273,0.67885,0.74474,0.62915,0.72035,0.55938,0.91473,0.8715,0.939,87,0.00078715,0.00078715,0.00078715
88,2479.01,1.01679,0.96471,0.96209,0.68923,0.68935,0.74609,0.6297,0.72155,0.56122,0.92593,0.87425,0.93897,88,0.000784675,0.000784675,0.000784675
89,2515.19,1.01391,0.95556,0.9453,0.69053,0.67831,0.76399,0.58839,0.68608,0.53638,0.89201,0.89875,0.93465,88,0.0007822,0.0007822,0.0007822
90,2555.71,0.95995,0.9373,0.92968,0.69731,0.70107,0.73352,0.65904,0.72712,0.57001,0.87517,0.86212,0.93222,90,0.000779725,0.000779725,0.000779725
91,2577.64,0.98155,0.93832,0.93487,0.69968,0.68117,0.76928,0.6123,0.72102,0.54912,0.9729,0.87388,0.94964,90,0.00077725,0.00077725,0.00077725
92,2598.92,1.02281,1.00112,0.96685,0.70528,0.68129,0.72936,0.66427,0.72032,0.55858,0.90213,0.87195,0.93416,90,0.000774775,0.000774775,0.000774775
93,2620.67,1.04758,1.00046,0.95202,0.67276,0.66395,0.76292,0.58479,0.68302,0.52311,0.90463,0.87894,0.93378,90,0.0007723,0.0007723,0.0007723
94,2642.39,1.03726,0.96481,0.94561,0.70922,0.70507,0.77633,0.63669,0.72666,0.56498,0.94245,0.87869,0.94753,90,0.000769825,0.000769825,0.000769825
95,2663.64,0.98922,0.93484,0.95166,0.7072,0.69724,0.7903,0.62129,0.73803,0.58104,0.86897,0.85414,0.92996,95,0.00076735,0.00076735,0.00076735
96,2685.42,1.03236,0.92025,0.94547,0.7143,0.68953,0.77608,0.6171,0.72523,0.55595,0.92183,0.87229,0.93941,95,0.000764875,0.000764875,0.000764875
97,2707.12,0.98083,0.91355,0.92691,0.67543,0.6981,0.77853,0.57975,0.71046,0.56278,0.87515,0.89522,0.92586,95,0.0007624,0.0007624,0.0007624
98,2728.45,0.99584,0.93559,0.93158,0.69042,0.69312,0.72823,0.65727,0.73066,0.5571,0.91171,0.87662,0.9351,95,0.000759925,0.000759925,0.000759925
99,2763.49,1.00556,0.97225,0.9489,0.70052,0.70632,0.74478,0.65927,0.73573,0.57361,0.89435,0.85498,0.934,95,0.00075745,0.00075745,0.00075745
100,2785.2,0.95519,0.94332,0.93001,0.69855,0.67299,0.75521,0.61783,0.71634,0.54752,0.89284,0.86305,0.93032,95,0.000754975,0.000754975,0.000754975
101,2823.33,0.97613,0.90418,0.9193,0.69017,0.7001,0.79655,0.5805,0.72145,0.55639,0.93187,0.8754,0.9392,95,0.0007525,0.0007525,0.0007525
102,2844.72,0.968,0.92025,0.93633,0.667,0.71601,0.70806,0.66241,0.72144,0.55869,0.87383,0.85519,0.92607,95,0.000750025,0.000750025,0.000750025
103,2866.38,1.03052,0.94911,0.94301,0.72143,0.63398,0.77205,0.56586,0.68033,0.53187,0.88295,0.89168,0.9261,95,0.00074755,0.00074755,0.00074755
104,2887.6,1.03435,0.9502,0.9396,0.69874,0.6648,0.75344,0.60556,0.69885,0.53907,0.94182,0.87118,0.93641,95,0.000745075,0.000745075,0.000745075
105,2909.18,1.01901,0.93476,0.93406,0.68529,0.68693,0.79414,0.5887,0.71271,0.55695,0.92295,0.86728,0.93977,95,0.0007426,0.0007426,0.0007426
106,2930.92,0.97727,0.90867,0.93598,0.69455,0.68666,0.77717,0.60234,0.71472,0.56269,0.87124,0.86977,0.92637,95,0.000740125,0.000740125,0.000740125
107,2952.28,0.98197,0.93465,0.93296,0.7341,0.66646,0.78491,0.6064,0.71794,0.55367,0.90818,0.88915,0.93656,95,0.00073765,0.00073765,0.00073765
108,2974,0.97753,0.92906,0.93307,0.65039,0.67458,0.75286,0.55171,0.67462,0.52374,0.92678,0.91936,0.939,95,0.000735175,0.000735175,0.000735175
109,2995.88,0.95226,0.91398,0.92746,0.71354,0.70227,0.74706,0.66618,0.74365,0.58628,0.88411,0.86938,0.92819,109,0.0007327,0.0007327,0.0007327
110,3032.03,0.98442,0.92789,0.93244,0.70875,0.69712,0.74224,0.66525,0.73875,0.57992,0.8758,0.84127,0.92784,109,0.000730225,0.000730225,0.000730225
111,3053.68,0.9516,0.9074,0.9197,0.68857,0.67698,0.79713,0.53447,0.69268,0.54191,0.85438,0.86202,0.92083,109,0.00072775,0.00072775,0.00072775
112,3075.52,0.95562,0.93689,0.91936,0.70584,0.70989,0.78054,0.62217,0.73506,0.57884,0.85925,0.86375,0.92496,109,0.000725275,0.000725275,0.000725275
113,3096.8,0.929,0.8984,0.92252,0.71551,0.68912,0.73954,0.66763,0.73603,0.57687,0.91374,0.84356,0.93599,109,0.0007228,0.0007228,0.0007228
114,3146.99,0.92686,0.86796,0.90135,0.70992,0.68465,0.81048,0.56101,0.7117,0.54904,0.96384,0.86366,0.94501,109,0.000720325,0.000720325,0.000720325
115,3182.58,0.95926,0.90297,0.91945,0.71651,0.7076,0.75964,0.65885,0.73653,0.5722,0.88731,0.86111,0.92877,109,0.00071785,0.00071785,0.00071785
116,3237.92,0.96021,0.89344,0.93722,0.66793,0.66413,0.77893,0.56016,0.68336,0.53398,0.87212,0.88784,0.92515,109,0.000715375,0.000715375,0.000715375
117,3271.7,0.98161,0.90987,0.92991,0.7254,0.66288,0.78655,0.57906,0.70445,0.55294,0.88988,0.86943,0.92781,109,0.0007129,0.0007129,0.0007129
