epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,17.9062,6.51511,4.7237,4.09213,0,0,0,0,0,0,6.81048,4.46115,4.12801,1,0.00023,0.00023,0.00023
2,29.0444,5.88651,4.16651,3.60311,0,0,0,0,0,0,6.78615,4.35594,3.99311,2,0.000468837,0.000468837,0.000468837
3,40.1984,3.9313,2.77529,2.52701,0,0,0,0,0,0,6.62145,4.15936,3.61869,3,0.000706485,0.000706485,0.000706485
4,51.2801,2.71285,2.12054,1.90446,0.00871,0.0054,0.8,0,0.00453,0.00328,4.1475,3.99114,2.43278,4,0.000942946,0.000942946,0.000942946
5,62.3702,2.29171,1.95694,1.67307,0.11383,0.13573,1,0,0.07182,0.04535,2.00844,2.79668,1.52033,5,0.0009901,0.0009901,0.0009901
6,73.7257,2.11289,1.82174,1.49801,0.25861,0.34589,0.81231,0.00878,0.23787,0.14026,1.93285,2.06967,1.42337,6,0.000987625,0.000987625,0.000987625
7,85.2127,2.09472,1.75964,1.51409,0.30181,0.43975,0.87555,0.13115,0.31994,0.19827,1.67965,1.6768,1.31035,7,0.00098515,0.00098515,0.00098515
8,112.452,1.94221,1.69337,1.36427,0.35564,0.40627,0.7899,0.18771,0.33262,0.21738,1.55506,1.55051,1.23395,8,0.000982675,0.000982675,0.000982675
9,137.139,1.79598,1.65564,1.32137,0.35695,0.43499,0.50813,0.25255,0.33574,0.2303,1.4289,1.56499,1.17816,9,0.0009802,0.0009802,0.0009802
10,148.418,1.69162,1.59154,1.25879,0.399,0.45203,0.68862,0.30163,0.37751,0.22063,1.48462,1.44692,1.18201,9,0.000977725,0.000977725,0.000977725
11,179.142,1.65986,1.5164,1.25185,0.37583,0.4876,0.70066,0.21905,0.3926,0.2601,1.42116,1.42458,1.17783,11,0.00097525,0.00097525,0.00097525
12,191.948,1.58813,1.50346,1.2287,0.4166,0.50698,0.69914,0.19927,0.39913,0.27689,1.29493,1.37127,1.14558,12,0.000972775,0.000972775,0.000972775
13,203.185,1.49506,1.44695,1.18474,0.42143,0.53141,0.76249,0.2716,0.4453,0.31871,1.25889,1.30404,1.14241,13,0.0009703,0.0009703,0.0009703
14,255.004,1.52056,1.44442,1.16198,0.44649,0.52771,0.74123,0.18763,0.45004,0.30517,1.38572,1.3676,1.15549,13,0.000967825,0.000967825,0.000967825
15,266.256,1.45773,1.36161,1.15126,0.49119,0.56449,0.69568,0.36618,0.50275,0.33564,1.3924,1.26533,1.12984,15,0.00096535,0.00096535,0.00096535
16,277.709,1.51692,1.38269,1.16085,0.47739,0.57516,0.66155,0.34507,0.50608,0.36014,1.21269,1.32503,1.0949,16,0.000962875,0.000962875,0.000962875
17,289.185,1.44191,1.36774,1.16265,0.48051,0.58451,0.6608,0.38333,0.51096,0.35249,1.19326,1.23914,1.06478,16,0.0009604,0.0009604,0.0009604
18,300.656,1.43446,1.34115,1.13406,0.55182,0.58109,0.70026,0.38689,0.54561,0.38127,1.22842,1.21897,1.06982,18,0.000957925,0.000957925,0.000957925
19,335.969,1.43517,1.35518,1.13818,0.48465,0.59009,0.70475,0.37591,0.52367,0.36892,1.14193,1.21422,1.04291,18,0.00095545,0.00095545,0.00095545
20,380.836,1.54322,1.40594,1.15295,0.52083,0.50726,0.66863,0.34476,0.4713,0.31866,1.24678,1.27994,1.07127,18,0.000952975,0.000952975,0.000952975
21,392.187,1.48842,1.34405,1.13028,0.53286,0.57271,0.74981,0.31599,0.53035,0.34846,1.27192,1.2255,1.06081,18,0.0009505,0.0009505,0.0009505
22,403.376,1.39633,1.30638,1.10139,0.54574,0.58676,0.71752,0.38061,0.52731,0.36879,1.17348,1.17943,1.04366,18,0.000948025,0.000948025,0.000948025
23,414.525,1.41439,1.30663,1.11967,0.47899,0.59384,0.68118,0.35263,0.51486,0.35594,1.14122,1.19505,1.03054,18,0.00094555,0.00094555,0.00094555
