epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,48.1526,6.48,5.44831,3.96931,0,0,0.6,0,0,0,6.75137,5.0324,3.97723,1,0.000324561,0.000324561,0.000324561
2,70.9405,5.26759,3.92659,3.27697,0,0,1,0,0,0,6.36087,4.1641,3.25935,2,0.000656809,0.000656809,0.000656809
3,139.15,3.61206,2.66196,2.23223,0.15424,0.20103,0.8,0,0.11346,0.06333,2.28747,2.71836,1.6941,3,0.000987957,0.000987957,0.000987957
