epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,19.2512,6.24701,4.79405,3.76592,0,0,0,0,0,0,5.91742,4.03921,3.49666,1,0.000326241,0.000326241,0.000326241
2,35.0606,4.77724,3.69306,2.88162,0.00021,0.00156,0.2,0,0.00011,4e-05,2.64102,3.37755,1.81298,2,0.000657942,0.000657942,0.000657942
3,49.3037,3.27342,2.59456,1.98574,0.11662,0.21978,0.8,0,0.09797,0.05421,1.85476,2.2236,1.44666,3,0.000987993,0.000987993,0.000987993
