epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/recall50(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
39,315.353,0.98642,0.87744,0.82687,0.68924,0.72113,0.80072,0.73225,0.56718,0.86498,0.84562,0.82023,36,0.0008746,0.0008746,0.0008746
40,323.598,0.9636,0.8806,0.82567,0.70731,0.72406,0.82267,0.74856,0.59192,0.88484,0.82312,0.82223,40,0.0008713,0.0008713,0.0008713
41,331.873,0.98527,0.87958,0.82434,0.67292,0.70054,0.78488,0.7245,0.56871,0.85772,0.8805,0.8141,40,0.000868,0.000868,0.000868
42,339.504,1.00032,0.92866,0.82655,0.68644,0.73352,0.83866,0.75648,0.58493,0.86167,0.87257,0.81947,40,0.0008647,0.0008647,0.0008647
43,347.165,0.94298,0.84153,0.81619,0.68075,0.70967,0.81313,0.70898,0.55334,0.87913,0.89013,0.81825,40,0.0008614,0.0008614,0.0008614
44,354.738,0.91278,0.84919,0.81841,0.66863,0.7122,0.82574,0.71866,0.52443,1.01114,0.92691,0.83442,40,0.0008581,0.0008581,0.0008581
45,362.383,0.95345,0.86136,0.82348,0.69991,0.648,0.76846,0.69784,0.55049,0.84889,0.90731,0.8163,40,0.0008548,0.0008548,0.0008548
46,369.948,0.93635,0.82138,0.81657,0.7193,0.70766,0.79635,0.72715,0.57997,0.82266,0.83275,0.81632,40,0.0008515,0.0008515,0.0008515
47,377.632,0.94624,0.85218,0.81529,0.69032,0.72218,0.80455,0.72863,0.55861,0.87605,0.8482,0.81986,40,0.0008482,0.0008482,0.0008482
48,385.483,0.96797,0.90523,0.82358,0.66377,0.71629,0.78105,0.7072,0.52306,0.93362,0.87014,0.8275,40,0.0008449,0.0008449,0.0008449
49,393.197,0.95445,0.87055,0.81992,0.65982,0.68559,0.77702,0.67537,0.52962,0.84355,0.93112,0.81728,40,0.0008416,0.0008416,0.0008416
50,401.006,0.96773,0.85153,0.8262,0.70334,0.71188,0.77373,0.73361,0.55839,0.89978,0.83995,0.82167,40,0.0008383,0.0008383,0.0008383
51,409.196,1.00873,0.84313,0.82348,0.71286,0.70732,0.82037,0.73403,0.54524,0.97287,0.87041,0.82519,40,0.000835,0.000835,0.000835
52,416.821,0.98024,0.8694,0.82134,0.73107,0.7277,0.82708,0.75983,0.57062,0.96836,0.83291,0.82389,40,0.0008317,0.0008317,0.0008317
