epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,26.7338,4.50561,3.37862,3.24716,0,0,0.8,0,0,0,3.13999,3.65349,1.88293,1,0.000326241,0.000326241,0.000326241
2,48.2288,2.39805,1.70615,1.99593,0.18711,0.34857,0.2,0,0.18804,0.08125,1.94403,3.10921,1.59211,2,0.000658486,0.000658486,0.000658486
3,69.9362,2.16534,1.66238,1.53569,0.21376,0.32834,0.32306,0.12739,0.20897,0.1025,1.69744,1.91408,1.30608,3,0.000989631,0.000989631,0.000989631
4,91.5996,1.92052,1.60144,1.43278,0.16379,0.29498,0.55517,0.10159,0.1917,0.10846,1.82955,1.88487,1.32534,4,0.00099505,0.00099505,0.00099505
5,113.619,1.59672,1.50304,1.28978,0.26012,0.39807,0.46449,0.38557,0.28213,0.14448,1.53221,2.0167,1.21977,5,0.0009934,0.0009934,0.0009934
6,135.71,1.54677,1.43368,1.23513,0.4684,0.39188,0.49616,0.37823,0.40177,0.27671,1.17973,2.42237,1.03023,6,0.00099175,0.00099175,0.00099175
7,157.53,1.58221,1.38724,1.28837,0.43473,0.47996,0.64255,0.24864,0.3692,0.24144,1.17161,1.22761,1.02771,6,0.0009901,0.0009901,0.0009901
8,179.037,1.48358,1.35374,1.19253,0.57709,0.61226,0.69115,0.44798,0.55056,0.39008,1.02449,1.02201,0.93938,8,0.00098845,0.00098845,0.00098845
9,200.936,1.46708,1.28605,1.17586,0.5276,0.56191,0.64241,0.42908,0.52429,0.29692,1.37187,1.1312,1.07169,8,0.0009868,0.0009868,0.0009868
10,222.516,1.49451,1.29504,1.15986,0.59379,0.61134,0.8526,0.24443,0.59412,0.39373,1.07056,1.10086,0.94481,10,0.00098515,0.00098515,0.00098515
11,244.171,1.36879,1.21987,1.12126,0.5719,0.60546,0.69515,0.41553,0.57104,0.37007,1.20474,1.04843,0.97461,10,0.0009835,0.0009835,0.0009835
12,265.542,1.25028,1.22631,1.11739,0.58014,0.63486,0.71838,0.36931,0.55904,0.38964,0.99758,1.04988,0.93447,10,0.00098185,0.00098185,0.00098185
13,287.148,1.21865,1.21772,1.09413,0.5313,0.69004,0.78001,0.44874,0.63813,0.46029,0.95436,0.98502,0.92326,13,0.0009802,0.0009802,0.0009802
