epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,26.516,6.058,4.61397,3.67687,0,0,0,0,0,0,5.85271,3.82031,3.26113,1,0.000326241,0.000326241,0.000326241
2,50.6766,4.76055,3.55619,2.83057,0.00025,0.00165,0.6,0,0.00013,3e-05,2.87176,3.20222,1.75801,2,0.000657942,0.000657942,0.000657942
3,73.2573,3.2961,2.60893,1.95812,0.12395,0.21328,0.72226,0.00191,0.11317,0.05814,1.89816,2.14757,1.40101,3,0.000987993,0.000987993,0.000987993
4,95.5994,2.43666,2.24381,1.63156,0.21203,0.28334,0.67283,0.08349,0.18391,0.10174,1.67457,1.93076,1.2308,4,0.000992575,0.000992575,0.000992575
5,118.972,2.07346,2.04098,1.44813,0.3719,0.26174,0.41714,0.16097,0.15727,0.10018,1.51973,2.0829,1.14586,4,0.0009901,0.0009901,0.0009901
6,142.399,1.95825,1.92289,1.35837,0.29314,0.384,0.49005,0.16891,0.25664,0.15719,1.42234,1.69975,1.09086,6,0.000987625,0.000987625,0.000987625
7,165.57,1.74805,1.71134,1.30082,0.31082,0.42938,0.57117,0.20759,0.29118,0.17844,1.37562,1.53435,1.08742,7,0.00098515,0.00098515,0.00098515
8,188.067,1.75606,1.75093,1.26669,0.39755,0.51184,0.67354,0.21057,0.41229,0.27077,1.20445,1.35428,1.01473,8,0.000982675,0.000982675,0.000982675
9,210.654,1.66527,1.58679,1.1979,0.39819,0.51667,0.7007,0.19767,0.40608,0.23469,1.43273,1.39631,1.07508,8,0.0009802,0.0009802,0.0009802
10,232.843,1.73722,1.62493,1.21829,0.44985,0.52394,0.72877,0.24793,0.45026,0.30279,1.18132,1.27258,0.98886,10,0.000977725,0.000977725,0.000977725
11,255.077,1.59367,1.55556,1.16041,0.49627,0.52788,0.63094,0.30718,0.47999,0.32964,1.11425,1.21398,0.96667,11,0.00097525,0.00097525,0.00097525
12,277.073,1.51626,1.54024,1.14839,0.44083,0.54303,0.6376,0.30111,0.44368,0.29979,1.1485,1.29011,0.96084,11,0.000972775,0.000972775,0.000972775
13,299.069,1.42239,1.46745,1.11694,0.42155,0.57236,0.56621,0.43828,0.45336,0.29132,1.19519,1.22493,0.97233,11,0.0009703,0.0009703,0.0009703
14,320.899,1.53167,1.47022,1.12905,0.42522,0.56955,0.68635,0.30594,0.46232,0.31345,1.20976,1.19205,0.97161,11,0.000967825,0.000967825,0.000967825
15,342.633,1.46566,1.50156,1.12164,0.48597,0.57709,0.73797,0.29056,0.47969,0.32912,1.09121,1.1408,0.93039,11,0.00096535,0.00096535,0.00096535
16,364.687,1.46292,1.47504,1.11771,0.46367,0.54995,0.66286,0.29473,0.44826,0.30734,1.03306,1.11332,0.90708,11,0.000962875,0.000962875,0.000962875
17,386.195,1.48242,1.48295,1.09623,0.4887,0.58,0.70171,0.31382,0.49086,0.34173,1.10914,1.10308,0.928,17,0.0009604,0.0009604,0.0009604
18,408.345,1.49971,1.50931,1.11368,0.4708,0.58361,0.72569,0.3383,0.5036,0.34767,1.05319,1.08254,0.91048,18,0.000957925,0.000957925,0.000957925
19,430.368,1.39312,1.36699,1.07099,0.50387,0.58591,0.71563,0.31359,0.50458,0.34959,1.07198,1.089,0.91675,19,0.00095545,0.00095545,0.00095545
20,452.275,1.45372,1.47231,1.11485,0.48947,0.57926,0.71232,0.33666,0.52124,0.36474,1.10369,1.09715,0.9241,20,0.000952975,0.000952975,0.000952975
21,474.798,1.42214,1.36066,1.06289,0.58151,0.57174,0.70251,0.41368,0.55869,0.38577,1.04993,1.08547,0.90574,21,0.0009505,0.0009505,0.0009505
22,496.922,1.44857,1.48265,1.09406,0.53344,0.58793,0.74385,0.33077,0.53348,0.35989,1.05616,1.07589,0.89758,21,0.000948025,0.000948025,0.000948025
23,518.411,1.35621,1.40342,1.06039,0.52987,0.5688,0.74714,0.34374,0.52917,0.36154,1.09587,1.09838,0.91904,21,0.00094555,0.00094555,0.00094555
24,540.091,1.40274,1.3301,1.07247,0.45948,0.52534,0.61209,0.30613,0.43874,0.30055,1.04499,1.13159,0.90074,21,0.000943075,0.000943075,0.000943075
25,561.458,1.33757,1.29849,1.03815,0.55816,0.60562,0.76358,0.35171,0.5675,0.40258,1.0026,1.02659,0.88649,25,0.0009406,0.0009406,0.0009406
26,583.231,1.34598,1.28415,1.03789,0.57376,0.60262,0.73618,0.44319,0.58881,0.41305,1.01526,1.0263,0.88907,26,0.000938125,0.000938125,0.000938125
27,604.914,1.37062,1.32701,1.07321,0.55367,0.58281,0.75273,0.37296,0.54613,0.38201,1.02182,1.03117,0.89309,26,0.00093565,0.00093565,0.00093565
28,626.573,1.34952,1.3087,1.05251,0.5696,0.60905,0.78307,0.38601,0.57668,0.41528,0.96266,0.98245,0.87666,28,0.000933175,0.000933175,0.000933175
