epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,14.7631,6.70221,5.55826,4.13853,0,0,0,0,0,0,6.92439,5.79503,4.13132,1,0.00023,0.00023,0.00023
2,24.0632,6.38899,4.85068,3.88605,0,0,0,0,0,0,6.91257,5.11581,4.02053,2,0.000468837,0.000468837,0.000468837
3,33.4136,5.21127,3.76494,3.48004,0,0,0,0,0,0,6.78277,4.11801,3.44013,3,0.000706485,0.000706485,0.000706485
4,42.7551,3.58297,2.60663,2.46715,0,0,0.8,0,0,0,6.7132,4.35017,3.44628,4,0.000942946,0.000942946,0.000942946
5,52.0949,2.83189,2.13753,1.85826,0.09222,0.1827,1,0,0.07666,0.03942,2.23541,2.45674,1.48027,5,0.0009901,0.0009901,0.0009901
6,61.7446,2.42229,1.94459,1.56303,0.39313,0.37096,0.75653,0.03695,0.27609,0.13983,2.10931,1.82214,1.4364,6,0.000987625,0.000987625,0.000987625
7,71.4834,2.30978,1.81364,1.51935,0.33045,0.45058,0.88075,0.12558,0.34677,0.21335,1.81415,1.69677,1.2623,7,0.00098515,0.00098515,0.00098515
8,81.1147,2.14637,1.72863,1.34729,0.37907,0.16526,0.65499,0.07113,0.26237,0.16945,1.75017,5.03504,1.24827,7,0.000982675,0.000982675,0.000982675
9,90.4767,1.95147,1.67774,1.29531,0.41625,0.33286,0.46849,0.15494,0.34779,0.23537,1.63339,2.83392,1.17042,9,0.0009802,0.0009802,0.0009802
10,100.112,1.89566,1.61221,1.22848,0.5788,0.10381,0.6622,0.0863,0.33523,0.22265,1.682,inf,1.15365,9,0.000977725,0.000977725,0.000977725
11,109.414,1.80056,1.52603,1.20956,0.36762,0.52862,0.75288,0.25087,0.41213,0.2797,1.48267,1.4148,1.1117,11,0.00097525,0.00097525,0.00097525
12,118.718,1.71649,1.51003,1.18981,0.39479,0.49474,0.78171,0.25731,0.3903,0.2645,1.48502,1.36003,1.10993,11,0.000972775,0.000972775,0.000972775
13,128.068,1.65678,1.48006,1.16032,0.44322,0.50549,0.58259,0.3003,0.43034,0.29148,1.40416,1.30757,1.08601,13,0.0009703,0.0009703,0.0009703
14,137.42,1.69343,1.50207,1.1323,0.43445,0.49362,0.62272,0.26923,0.4194,0.28827,1.37218,1.34069,1.0864,13,0.000967825,0.000967825,0.000967825
15,146.672,1.59146,1.39672,1.12178,0.50023,0.52256,0.66205,0.36368,0.4717,0.31725,1.39876,1.25757,1.06985,15,0.00096535,0.00096535,0.00096535
16,156.207,1.62428,1.40597,1.11781,0.45116,0.53036,0.79874,0.23003,0.46142,0.313,1.39186,1.28947,1.07935,15,0.000962875,0.000962875,0.000962875
17,165.565,1.58423,1.41128,1.13639,0.47201,0.53861,0.69395,0.32091,0.47564,0.31931,1.33453,1.24056,1.05078,17,0.0009604,0.0009604,0.0009604
18,175.169,1.55537,1.40073,1.09981,0.49469,0.52376,0.71466,0.23933,0.46169,0.30389,1.27555,1.27461,1.06068,17,0.000957925,0.000957925,0.000957925
19,184.505,1.47559,1.40024,1.09263,0.41195,0.54861,0.6208,0.3648,0.44662,0.31141,1.31027,1.24119,1.03911,17,0.00095545,0.00095545,0.00095545
20,193.853,1.67688,1.49889,1.1225,0.50808,0.53011,0.62962,0.36292,0.47396,0.33554,1.2402,1.20366,1.02557,20,0.000952975,0.000952975,0.000952975
21,203.306,1.55385,1.3808,1.08799,0.50779,0.56103,0.72936,0.30303,0.47915,0.32072,1.31815,1.23877,1.02602,20,0.0009505,0.0009505,0.0009505
22,212.646,1.48107,1.37654,1.06795,0.50472,0.5658,0.67379,0.35048,0.47509,0.31831,1.24498,1.20403,1.02773,20,0.000948025,0.000948025,0.000948025
