epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,9.27545,5.91003,26.8156,3.51148,0,0,0.6,0,0,0,4.52127,60.6579,2.62063,1,0.00023,0.00023,0.00023
2,17.457,6.73044,11.4662,3.52674,0,0,1,0,0,0,6.32346,25.8511,3.30441,2,0.000468449,0.000468449,0.000468449
3,25.6756,5.85254,4.94468,2.58242,0,0,1,0,0,0,4.67598,4.23626,2.23096,3,0.000705314,0.000705314,0.000705314
4,33.5078,4.48243,3.70921,1.97296,0,0,1,0,0,0,3.33625,3.42926,1.26173,4,0.000940595,0.000940595,0.000940595
5,41.9645,4.29767,3.46971,1.69604,0.00439,0.0068,1,0,0.00231,0.00052,3.65141,3.32561,1.39963,5,0.0009868,0.0009868,0.0009868
6,50.4439,4.07704,3.30307,1.60788,0.00141,0.00238,0.8,0,0.00077,0.0002,nan,nan,nan,5,0.0009835,0.0009835,0.0009835
7,58.3638,4.11198,3.16945,1.46831,0.00725,0.00721,0.8,0,0.00425,0.00132,nan,nan,nan,7,0.0009802,0.0009802,0.0009802
8,66.1015,4.20867,3.0257,1.40896,0.17829,0.01063,0.8,0,0.09206,0.03544,nan,nan,nan,8,0.0009769,0.0009769,0.0009769
9,73.9406,4.06388,2.84584,1.49229,0.56299,0.02871,0.93985,0.00225,0.04249,0.01408,nan,nan,nan,8,0.0009736,0.0009736,0.0009736
10,81.7294,3.99873,2.7051,1.40062,0.54742,0.14859,0.8136,0.03012,0.11671,0.03308,nan,nan,nan,8,0.0009703,0.0009703,0.0009703
11,89.4385,4.10627,2.70074,1.40265,0.07457,0.13425,0.75272,0.00696,0.06576,0.01347,3.78149,2.4483,1.48633,8,0.000967,0.000967,0.000967
12,96.9277,3.96986,2.53275,1.42807,0.01711,0.01339,0.4184,0.00497,0.00601,0.00108,nan,nan,nan,8,0.0009637,0.0009637,0.0009637
13,104.567,3.4542,2.25704,1.33647,0.06838,0.08991,0.49786,0.06035,0.05833,0.01949,nan,nan,nan,8,0.0009604,0.0009604,0.0009604
14,112.251,3.23992,2.18808,1.27324,0.19365,0.20231,0.43369,0.07129,0.14135,0.05413,nan,nan,nan,14,0.0009571,0.0009571,0.0009571
15,120.372,2.97129,2.08828,1.24376,0.2398,0.32396,0.8279,0.12061,0.25052,0.12396,2.53086,1.99665,1.21062,15,0.0009538,0.0009538,0.0009538
