epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,26.7808,1.69391,2.2761,1.18686,7e-05,0.00026,7e-05,0.00026,4e-05,1e-05,1.18412,inf,1.18105,1,0.000327586,0.000327586,0.000327586
2,51.844,1.36245,1.39696,1.01882,0.41167,0.41717,0.45358,0.38763,0.36962,0.23324,1.41049,3.32095,1.07845,2,0.000659829,0.000659829,0.000659829
3,75.6114,1.34341,1.39205,1.03052,0.57255,0.5823,0.61489,0.536,0.55581,0.35611,1.29138,1.29628,1.04394,3,0.000990972,0.000990972,0.000990972
4,99.4629,1.45258,1.36669,1.07085,0.464,0.52258,0.60431,0.37068,0.44817,0.25877,1.55518,1.35521,1.15369,3,0.00099505,0.00099505,0.00099505
5,123.284,1.35831,1.38616,1.04997,0.44536,0.60666,0.47803,0.57102,0.4567,0.29817,1.15659,1.37214,1.00695,3,0.0009934,0.0009934,0.0009934
6,146.181,1.21321,1.28993,0.99856,0.55504,0.60001,0.64274,0.47657,0.57056,0.41373,1.04153,1.20646,0.96025,6,0.00099175,0.00099175,0.00099175
7,169.254,1.27206,1.2039,0.99527,0.56356,0.63266,0.62049,0.57418,0.59232,0.40321,1.13075,1.1174,0.98688,6,0.0009901,0.0009901,0.0009901
8,192.509,1.22696,1.30348,1.02809,0.64114,0.5846,0.70381,0.47488,0.58883,0.38804,1.22905,1.14829,1.00169,6,0.00098845,0.00098845,0.00098845
9,215.273,1.21885,1.28984,0.98746,0.53571,0.68707,0.59854,0.60679,0.63285,0.40592,1.32807,1.16287,1.03394,6,0.0009868,0.0009868,0.0009868
10,238.611,1.19667,1.20337,0.98825,0.55523,0.68686,0.67795,0.5313,0.63603,0.46497,1.04365,1.06776,0.95739,10,0.00098515,0.00098515,0.00098515
11,261.624,1.16526,1.14118,0.97005,0.60996,0.58183,0.74672,0.43827,0.56897,0.39549,1.13415,1.10137,0.98023,10,0.0009835,0.0009835,0.0009835
12,284.439,1.12364,1.11008,0.96958,0.63905,0.69183,0.68234,0.63916,0.67563,0.49471,1.03958,0.9781,0.96327,12,0.00098185,0.00098185,0.00098185
13,307.556,1.11736,1.12102,0.97684,0.63618,0.66029,0.7182,0.57873,0.66378,0.48209,1.05958,0.99026,0.95686,12,0.0009802,0.0009802,0.0009802
14,330.579,1.15746,1.1084,0.97509,0.6694,0.63621,0.7531,0.54598,0.63854,0.46931,0.97584,0.9481,0.94437,12,0.00097855,0.00097855,0.00097855
15,353.093,1.11105,1.09001,0.95553,0.65026,0.65111,0.7166,0.57936,0.66067,0.48877,1.00434,0.93163,0.94154,12,0.0009769,0.0009769,0.0009769
16,375.614,1.08332,1.05466,0.96436,0.65078,0.65839,0.70436,0.60454,0.65135,0.48906,0.92736,0.91382,0.92964,12,0.00097525,0.00097525,0.00097525
17,398.616,1.15641,1.07938,0.97744,0.68729,0.65304,0.67161,0.66414,0.67969,0.51226,0.90608,0.9445,0.92083,17,0.0009736,0.0009736,0.0009736
18,421.581,1.13183,1.10494,0.96919,0.6648,0.64507,0.72373,0.58823,0.66401,0.48874,1.0389,0.91763,0.96219,17,0.00097195,0.00097195,0.00097195
19,444.397,1.01099,1.0565,0.94372,0.63456,0.68964,0.67732,0.63985,0.68383,0.50824,0.97692,0.97382,0.93259,17,0.0009703,0.0009703,0.0009703
20,467.147,1.06187,1.0465,0.93623,0.63422,0.67653,0.67957,0.63702,0.67313,0.49063,1.00594,0.92513,0.93712,17,0.00096865,0.00096865,0.00096865
21,489.928,1.1678,1.06571,0.98374,0.62796,0.59683,0.76437,0.50057,0.6128,0.45583,1.0203,1.00923,0.95935,17,0.000967,0.000967,0.000967
22,512.692,1.13411,1.08757,0.96227,0.65984,0.64647,0.76776,0.54109,0.67459,0.49413,1.02415,0.95552,0.95021,17,0.00096535,0.00096535,0.00096535
23,535.466,1.06972,1.05101,0.93822,0.6196,0.66213,0.71353,0.55713,0.65079,0.496,0.89751,0.92484,0.91687,17,0.0009637,0.0009637,0.0009637
24,557.943,1.03677,1.08195,0.94947,0.66022,0.63916,0.76736,0.49254,0.6417,0.47904,0.99388,0.94168,0.94398,17,0.00096205,0.00096205,0.00096205
25,580.643,1.07488,1.03349,0.95792,0.70923,0.67718,0.73203,0.65383,0.71193,0.54785,0.90506,0.87683,0.9233,25,0.0009604,0.0009604,0.0009604
26,603.564,1.06938,1.02001,0.96078,0.6612,0.60516,0.75655,0.53908,0.63177,0.4679,0.98043,0.94473,0.93275,25,0.00095875,0.00095875,0.00095875
27,626.152,1.00948,0.96868,0.92771,0.64471,0.67524,0.73308,0.56074,0.66533,0.50037,0.93019,0.95454,0.92639,25,0.0009571,0.0009571,0.0009571
28,648.891,0.95803,0.97836,0.92278,0.5629,0.61135,0.71215,0.47907,0.59633,0.41654,1.14244,1.02269,0.96873,25,0.00095545,0.00095545,0.00095545
29,671.791,1.08553,1.05896,0.96831,0.68407,0.69173,0.71024,0.66739,0.70305,0.53939,0.9092,0.9077,0.91769,25,0.0009538,0.0009538,0.0009538
30,694.383,1.02603,0.99184,0.93736,0.62913,0.66771,0.71681,0.57481,0.65355,0.51029,0.85601,0.86971,0.9104,25,0.00095215,0.00095215,0.00095215
31,717.152,1.00942,1.00591,0.92386,0.68385,0.71131,0.66494,0.72908,0.7202,0.53647,0.97493,0.88248,0.9339,25,0.0009505,0.0009505,0.0009505
32,739.895,1.01493,0.97431,0.92337,0.64621,0.66724,0.71109,0.59401,0.66907,0.51571,0.90673,0.95918,0.91656,25,0.00094885,0.00094885,0.00094885
33,762.281,0.96621,0.9876,0.91984,0.68068,0.70896,0.74071,0.63821,0.72683,0.58241,0.8143,0.87361,0.89833,33,0.0009472,0.0009472,0.0009472
34,785.148,1.01603,0.96717,0.91944,0.5937,0.62983,0.73537,0.4905,0.61373,0.47734,0.87695,0.96974,0.91445,33,0.00094555,0.00094555,0.00094555
35,807.749,1.01909,0.97086,0.94036,0.63132,0.67465,0.70088,0.61274,0.67934,0.505,0.97402,0.95021,0.93574,33,0.0009439,0.0009439,0.0009439
36,830.284,1.05573,0.9792,0.9295,0.68768,0.67758,0.72954,0.63577,0.70472,0.52387,0.98389,0.85482,0.93368,33,0.00094225,0.00094225,0.00094225
37,852.865,1.04661,0.99203,0.93639,0.67089,0.65353,0.6993,0.62308,0.6562,0.47098,1.04987,0.8915,0.94484,33,0.0009406,0.0009406,0.0009406
38,875.507,1.02658,1.00475,0.93027,0.69351,0.64727,0.75743,0.58716,0.67832,0.51854,0.89157,0.86458,0.91668,33,0.00093895,0.00093895,0.00093895
39,898.132,0.92995,0.91307,0.91779,0.67766,0.70188,0.72555,0.64056,0.71047,0.55729,0.88083,0.82672,0.91668,33,0.0009373,0.0009373,0.0009373
40,920.672,0.91103,0.91828,0.90565,0.67328,0.65008,0.74429,0.57154,0.6796,0.50702,1.02424,0.92411,0.94195,33,0.00093565,0.00093565,0.00093565
41,943.456,0.96043,0.96907,0.92673,0.70433,0.68802,0.77732,0.60331,0.71499,0.56207,0.86545,0.81713,0.91246,33,0.000934,0.000934,0.000934
42,965.898,0.94098,0.92323,0.91982,0.67913,0.68554,0.7291,0.63602,0.70607,0.55201,0.84248,0.83931,0.90564,33,0.00093235,0.00093235,0.00093235
43,988.434,0.93647,0.89401,0.91369,0.68879,0.69857,0.69751,0.68982,0.71751,0.56095,0.8633,0.83829,0.90617,33,0.0009307,0.0009307,0.0009307
44,1011.03,0.91169,0.88895,0.92174,0.65453,0.65296,0.73436,0.58115,0.66588,0.51791,0.8694,0.85677,0.90604,33,0.00092905,0.00092905,0.00092905
45,1033.55,0.95545,0.89819,0.91816,0.65609,0.64749,0.75742,0.55306,0.66153,0.51478,0.85645,0.84209,0.90509,33,0.0009274,0.0009274,0.0009274
46,1056.11,0.96095,0.94556,0.90662,0.62328,0.64876,0.71846,0.5487,0.63576,0.49754,0.85907,0.86543,0.91087,33,0.00092575,0.00092575,0.00092575
47,1078.75,0.93384,0.89538,0.91148,0.68752,0.68443,0.70935,0.66626,0.69989,0.54142,0.86602,0.82712,0.90958,33,0.0009241,0.0009241,0.0009241
48,1101.47,1.00874,0.9284,0.9288,0.64365,0.65271,0.69062,0.59401,0.6394,0.49278,0.93686,0.87649,0.93397,33,0.00092245,0.00092245,0.00092245
49,1124.25,0.96749,0.93358,0.91542,0.70532,0.70831,0.73778,0.6726,0.72992,0.57638,0.82797,0.7957,0.90896,33,0.0009208,0.0009208,0.0009208
50,1147.07,0.9609,0.88378,0.91574,0.69166,0.64867,0.74417,0.59713,0.68058,0.4798,1.15585,0.89359,0.96385,33,0.00091915,0.00091915,0.00091915
51,1169.66,1.03823,0.93801,0.94063,0.71731,0.69371,0.78188,0.62549,0.72795,0.57138,0.86217,0.82063,0.91007,33,0.0009175,0.0009175,0.0009175
52,1192.26,0.97655,0.90836,0.9181,0.71093,0.64911,0.78516,0.55741,0.68318,0.54278,0.82834,0.86689,0.90286,33,0.00091585,0.00091585,0.00091585
53,1214.73,0.93873,0.91233,0.91965,0.68532,0.69579,0.76065,0.61116,0.71413,0.5702,0.80723,0.82344,0.89716,33,0.0009142,0.0009142,0.0009142
54,1237.19,0.90113,0.87293,0.91177,0.71699,0.70884,0.79028,0.6154,0.73426,0.59299,0.77609,0.77705,0.89119,54,0.00091255,0.00091255,0.00091255
55,1260.1,0.945,0.87456,0.91926,0.66484,0.64541,0.80443,0.51999,0.66629,0.52376,0.82516,0.83329,0.90418,54,0.0009109,0.0009109,0.0009109
56,1282.8,0.94305,0.90786,0.91062,0.64544,0.69173,0.71722,0.60297,0.67481,0.508,0.93754,0.91604,0.94356,54,0.00090925,0.00090925,0.00090925
57,1305.5,0.95027,1.00671,0.92268,0.63316,0.68923,0.77352,0.55633,0.67744,0.53884,0.81227,0.80486,0.89718,54,0.0009076,0.0009076,0.0009076
58,1328.08,0.92565,0.88496,0.91362,0.62296,0.69973,0.71027,0.61821,0.68432,0.5282,0.91559,0.89112,0.91455,54,0.00090595,0.00090595,0.00090595
59,1350.87,0.95009,0.89591,0.90773,0.68977,0.69926,0.72411,0.65832,0.71466,0.56162,0.81205,0.81255,0.89724,54,0.0009043,0.0009043,0.0009043
60,1373.2,0.99351,0.91024,0.94286,0.7054,0.67509,0.74189,0.64028,0.70186,0.55036,0.88038,0.83233,0.91404,54,0.00090265,0.00090265,0.00090265
61,1395.77,0.96769,0.88474,0.91222,0.65572,0.67687,0.76934,0.57163,0.68301,0.5305,0.89023,0.8567,0.91018,54,0.000901,0.000901,0.000901
62,1418.4,0.90367,0.86053,0.89291,0.72391,0.68071,0.73873,0.66537,0.71926,0.57077,0.82476,0.8065,0.90362,54,0.00089935,0.00089935,0.00089935
63,1440.92,0.86594,0.83986,0.89625,0.70264,0.64765,0.76153,0.58584,0.67627,0.52768,0.82896,0.82976,0.90185,54,0.0008977,0.0008977,0.0008977
64,1463.46,0.9177,0.85245,0.9083,0.66999,0.71315,0.7406,0.64479,0.72638,0.56798,0.88548,0.86412,0.90724,54,0.00089605,0.00089605,0.00089605
65,1486.08,0.97448,0.84656,0.91145,0.70567,0.67137,0.80269,0.57472,0.70105,0.5446,0.88047,0.81028,0.90856,54,0.0008944,0.0008944,0.0008944
66,1508.46,0.92589,0.8751,0.89871,0.68108,0.66482,0.77875,0.55115,0.67585,0.53379,0.83288,0.83285,0.90706,54,0.00089275,0.00089275,0.00089275
67,1530.93,0.88756,0.84044,0.90469,0.68476,0.68671,0.77336,0.59825,0.70275,0.5506,0.86711,0.78866,0.9024,54,0.0008911,0.0008911,0.0008911
68,1553.62,0.89715,0.8622,0.89931,0.66205,0.67401,0.74387,0.60712,0.6809,0.53584,0.82158,0.80349,0.90467,54,0.00088945,0.00088945,0.00088945
69,1576.19,0.89695,0.84379,0.89814,0.63462,0.66285,0.76456,0.55376,0.64719,0.51107,0.81935,0.83946,0.89801,54,0.0008878,0.0008878,0.0008878
70,1598.63,0.86896,0.85399,0.90714,0.67662,0.66531,0.75441,0.59124,0.68406,0.55402,0.74849,0.79484,0.88594,54,0.00088615,0.00088615,0.00088615
71,1621.06,0.91472,0.88395,0.90396,0.6936,0.70988,0.75935,0.62492,0.72497,0.57798,0.82168,0.80174,0.8964,54,0.0008845,0.0008845,0.0008845
72,1643.56,0.87795,0.84121,0.9102,0.66607,0.6734,0.78018,0.58683,0.69992,0.55673,0.80311,0.78984,0.89519,54,0.00088285,0.00088285,0.00088285
73,1666.18,0.95284,0.88828,0.91714,0.70422,0.68826,0.75164,0.64034,0.71729,0.57581,0.79348,0.78768,0.8912,54,0.0008812,0.0008812,0.0008812
74,1688.57,0.91018,0.8426,0.91337,0.69988,0.69984,0.74442,0.64517,0.72916,0.58963,0.79374,0.80179,0.89286,54,0.00087955,0.00087955,0.00087955
75,1711.07,0.90203,0.81359,0.91919,0.72559,0.69296,0.74535,0.67261,0.72909,0.58025,0.81061,0.78933,0.89492,54,0.0008779,0.0008779,0.0008779
76,1733.4,0.89286,0.89268,0.90684,0.71011,0.67408,0.73182,0.65734,0.70887,0.56535,0.79848,0.81305,0.89546,54,0.00087625,0.00087625,0.00087625
77,1756.07,0.86092,0.84414,0.90031,0.69431,0.69888,0.74,0.64965,0.71414,0.5655,0.83859,0.81089,0.90415,54,0.0008746,0.0008746,0.0008746
78,1778.44,0.88845,0.84373,0.89637,0.66916,0.63957,0.75145,0.54216,0.64238,0.50537,0.81363,0.85689,0.89828,54,0.00087295,0.00087295,0.00087295
79,1800.86,0.92978,0.87135,0.91282,0.6562,0.68348,0.71298,0.61036,0.68815,0.54435,0.82176,0.81668,0.8993,54,0.0008713,0.0008713,0.0008713
80,1823.43,0.88875,0.80519,0.89408,0.70308,0.68782,0.76923,0.62971,0.70973,0.56982,0.78097,0.74908,0.88808,54,0.00086965,0.00086965,0.00086965
81,1845.89,0.90957,0.81304,0.88748,0.68339,0.65823,0.74136,0.58889,0.6643,0.50455,0.96572,0.89312,0.92873,54,0.000868,0.000868,0.000868
82,1868.34,0.95104,0.80456,0.91302,0.6992,0.68926,0.74893,0.6416,0.71703,0.56878,0.80843,0.804,0.89661,54,0.00086635,0.00086635,0.00086635
83,1890.85,0.82474,0.77308,0.87964,0.69795,0.68378,0.78025,0.58987,0.70842,0.55742,0.86515,0.82813,0.91325,54,0.0008647,0.0008647,0.0008647
84,1913.42,0.849,0.81195,0.89203,0.70537,0.70771,0.74105,0.66269,0.73041,0.58911,0.78951,0.76727,0.89256,54,0.00086305,0.00086305,0.00086305
85,1935.93,0.84377,0.81152,0.88262,0.67642,0.68187,0.74834,0.62625,0.70376,0.56413,0.79801,0.85337,0.88927,54,0.0008614,0.0008614,0.0008614
86,1958.48,0.83568,0.80888,0.87928,0.68325,0.66796,0.74247,0.60384,0.6753,0.53953,0.7855,0.79273,0.89092,54,0.00085975,0.00085975,0.00085975
87,1980.95,0.85398,0.78624,0.89214,0.73046,0.68078,0.76809,0.6465,0.72362,0.57758,0.80232,0.76233,0.89226,54,0.0008581,0.0008581,0.0008581
88,2003.4,0.89286,0.79216,0.9063,0.723,0.71369,0.77023,0.66026,0.74693,0.59508,0.81541,0.75782,0.8962,88,0.00085645,0.00085645,0.00085645
