epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,344.369,0.92401,0.82437,0.81546,0.7143,0.72873,0.76871,0.60472,0.85527,0.81446,0.81522,0.0005842,0.0005842,0.0005842
44,352.054,0.90027,0.85125,0.81838,0.69348,0.73282,0.7491,0.58669,0.84204,0.86695,0.81938,0.0005743,0.0005743,0.0005743
45,359.595,0.89989,0.81768,0.81847,0.7398,0.69412,0.73915,0.58913,0.80657,0.82679,0.81382,0.0005644,0.0005644,0.0005644
46,367.334,0.87129,0.77656,0.81167,0.72359,0.71955,0.7525,0.59994,0.79871,0.78118,0.81341,0.0005545,0.0005545,0.0005545
47,374.91,0.90714,0.82573,0.81303,0.71049,0.73644,0.77271,0.60365,0.8305,0.80922,0.8165,0.0005446,0.0005446,0.0005446
48,382.885,0.95493,0.91108,0.82172,0.70646,0.71047,0.73888,0.57092,0.88073,0.86105,0.82029,0.0005347,0.0005347,0.0005347
49,390.495,0.92015,0.85764,0.81705,0.67601,0.73192,0.72077,0.57633,0.81694,0.87149,0.81761,0.0005248,0.0005248,0.0005248
50,398.311,0.90349,0.81307,0.82205,0.71408,0.71137,0.73632,0.57387,0.82957,0.80226,0.81681,0.0005149,0.0005149,0.0005149
51,405.949,0.95211,0.83265,0.81961,0.71312,0.67466,0.71354,0.53966,0.90867,0.90857,0.81942,0.000505,0.000505,0.000505
52,413.597,0.92115,0.85041,0.81641,0.71955,0.74176,0.77602,0.61744,0.84189,0.80485,0.81612,0.0004951,0.0004951,0.0004951
53,421.787,0.90654,0.78693,0.8178,0.73741,0.73701,0.7757,0.62199,0.78471,0.76172,0.81363,0.0004852,0.0004852,0.0004852
54,429.855,0.85614,0.75431,0.81289,0.7388,0.74704,0.78933,0.61764,0.87186,0.78752,0.81864,0.0004753,0.0004753,0.0004753
55,437.832,0.89306,0.78278,0.81297,0.74807,0.71718,0.76593,0.60931,0.82603,0.76572,0.81464,0.0004654,0.0004654,0.0004654
56,445.962,0.89432,0.80764,0.81273,0.73793,0.73808,0.77135,0.61075,0.84301,0.77885,0.81735,0.0004555,0.0004555,0.0004555
