epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,52.235,6.68524,5.96407,4.05712,0,0,0.4,0,0,0,6.92324,6.37307,4.09905,1,0.00023,0.00023,0.00023
2,68.1579,5.76332,4.47406,3.56153,0,0,1,0,0,0,6.90103,5.07459,3.91054,2,0.000468837,0.000468837,0.000468837
3,164.142,5.47424,3.8726,3.02185,0,0,1,0,0,0,3.32696,25.7307,16.5845,3,0.000706485,0.000706485,0.000706485
4,307.101,4.54671,3.30061,2.53728,0.00137,0.00201,0.8,0,0.00088,0.00035,4.13831,3.90639,2.4053,4,0.000942946,0.000942946,0.000942946
5,398.51,4.02104,2.8338,2.22473,0.05432,0.01766,1,0,0.03106,0.01387,nan,nan,nan,5,0.0009901,0.0009901,0.0009901
6,502.955,3.04238,2.38539,1.75106,0.43141,0.22273,0.79981,0.08618,0.16134,0.0865,2.44867,2.06721,1.50894,6,0.000987625,0.000987625,0.000987625
7,679.198,2.44755,2.00257,1.40486,0.38517,0.34991,0.37356,0.3603,0.23017,0.13019,1.89186,2.4897,1.28581,7,0.00098515,0.00098515,0.00098515
8,754.22,2.15152,1.85914,1.30689,0.64034,0.31911,0.64333,0.31634,0.26095,0.15999,1.74308,2.05504,1.20203,8,0.000982675,0.000982675,0.000982675
9,883.145,2.05066,1.7823,1.29527,0.36675,0.33721,0.3779,0.32807,0.21015,0.12634,1.78695,2.30043,1.18789,8,0.0009802,0.0009802,0.0009802
10,991.455,1.9828,1.7518,1.26894,0.20191,0.42771,0.64877,0.27323,0.26138,0.16513,1.64248,2.0413,1.13954,10,0.000977725,0.000977725,0.000977725
