epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,99.0011,1.10902,1.02736,0.83942,0.69542,0.6856,0.71012,0.54483,0.9152,0.96186,0.82667,0.0006931,0.0006931,0.0006931
33,101.792,1.06314,1.01565,0.83717,0.67048,0.68337,0.68267,0.52746,0.93384,1.00216,0.82853,0.0006832,0.0006832,0.0006832
34,104.622,1.06623,1.02403,0.82963,0.69802,0.71309,0.73713,0.55809,0.92337,0.90118,0.82572,0.0006733,0.0006733,0.0006733
35,107.445,1.08472,1.03054,0.83263,0.71162,0.67527,0.72501,0.55089,0.91403,0.93902,0.82805,0.0006634,0.0006634,0.0006634
36,110.244,1.1297,1.01773,0.82965,0.71195,0.68308,0.71447,0.54801,0.8929,0.90953,0.82552,0.0006535,0.0006535,0.0006535
37,113.049,1.05548,1.00588,0.83541,0.70141,0.70927,0.73721,0.57557,0.88008,0.88209,0.82486,0.0006436,0.0006436,0.0006436
38,115.899,1.09313,1.01398,0.83851,0.73451,0.7001,0.73281,0.57228,0.86861,0.86964,0.82398,0.0006337,0.0006337,0.0006337
39,118.686,1.06682,0.98482,0.83168,0.71377,0.70869,0.74027,0.5595,1.01247,0.89479,0.83092,0.0006238,0.0006238,0.0006238
40,121.604,1.11588,1.0208,0.83616,0.74176,0.72663,0.75677,0.58361,0.91305,0.84868,0.82779,0.0006139,0.0006139,0.0006139
41,124.617,1.13524,1.01632,0.83574,0.69281,0.71497,0.7274,0.56622,0.87329,0.89545,0.82299,0.000604,0.000604,0.000604
42,127.635,1.08789,1.00256,0.8318,0.70821,0.71123,0.74523,0.58359,0.86435,0.91868,0.82201,0.0005941,0.0005941,0.0005941
43,130.567,1.06971,0.95179,0.82648,0.69936,0.72522,0.75233,0.57127,0.94141,0.88709,0.82526,0.0005842,0.0005842,0.0005842
44,133.519,1.05807,0.97667,0.82885,0.73666,0.72589,0.76326,0.59854,0.8842,0.83142,0.82419,0.0005743,0.0005743,0.0005743
45,136.472,1.04965,0.95596,0.83038,0.72389,0.7371,0.75424,0.57927,0.90533,0.87203,0.82412,0.0005644,0.0005644,0.0005644
46,139.434,1.01869,0.91239,0.8233,0.73349,0.72341,0.7497,0.58202,0.88262,0.8436,0.82455,0.0005545,0.0005545,0.0005545
47,142.282,1.06725,0.95438,0.82618,0.72234,0.68069,0.71583,0.55674,0.88726,0.93095,0.82343,0.0005446,0.0005446,0.0005446
48,145.436,1.08013,0.97578,0.83362,0.73219,0.73109,0.76074,0.59855,0.87624,0.84377,0.82165,0.0005347,0.0005347,0.0005347
49,148.392,1.02702,0.92986,0.82577,0.67541,0.70519,0.71843,0.53273,0.93303,0.89031,0.82386,0.0005248,0.0005248,0.0005248
50,151.372,1.04425,0.94073,0.83207,0.68261,0.7177,0.72611,0.57584,0.85612,0.8786,0.82124,0.0005149,0.0005149,0.0005149
51,154.374,1.0564,0.94126,0.82926,0.69066,0.7205,0.74384,0.58091,0.8753,0.90271,0.82248,0.000505,0.000505,0.000505
52,157.354,1.02944,0.94558,0.82591,0.67609,0.69199,0.69445,0.52361,0.9469,0.90948,0.82335,0.0004951,0.0004951,0.0004951
53,160.254,1.05525,0.91704,0.82926,0.70524,0.72578,0.73827,0.57697,0.86201,0.83885,0.82199,0.0004852,0.0004852,0.0004852
54,163.101,0.99108,0.88201,0.82364,0.73295,0.7056,0.74991,0.58115,0.89099,0.89678,0.82306,0.0004753,0.0004753,0.0004753
55,165.953,1.05046,0.92872,0.8245,0.74969,0.72994,0.76455,0.59981,0.85622,0.8436,0.81951,0.0004654,0.0004654,0.0004654
56,168.836,1.06595,0.93969,0.82504,0.73592,0.73129,0.75739,0.5921,0.86863,0.84372,0.82086,0.0004555,0.0004555,0.0004555
57,171.653,1.04501,0.93927,0.81973,0.74791,0.72767,0.75582,0.59712,0.85227,0.84737,0.8193,0.0004456,0.0004456,0.0004456
58,174.486,1.10627,0.92115,0.82881,0.76324,0.71625,0.76383,0.58942,0.90736,0.84531,0.82043,0.0004357,0.0004357,0.0004357
59,177.31,1.05391,0.91766,0.82683,0.7624,0.72562,0.77347,0.6084,0.85197,0.82891,0.81835,0.0004258,0.0004258,0.0004258
60,180.163,1.03405,0.87636,0.82448,0.7498,0.72212,0.75903,0.59238,0.84674,0.82394,0.8207,0.0004159,0.0004159,0.0004159
61,182.986,1.03336,0.93378,0.8315,0.70368,0.73131,0.74868,0.58371,0.8707,0.82117,0.81927,0.000406,0.000406,0.000406
62,185.843,1.04093,0.93876,0.8278,0.73087,0.72908,0.76384,0.59054,0.86098,0.8764,0.81975,0.0003961,0.0003961,0.0003961
63,188.778,1.08737,0.90251,0.82161,0.77015,0.72578,0.7794,0.61634,0.83423,0.78449,0.8179,0.0003862,0.0003862,0.0003862
64,191.724,1.02051,0.88901,0.82697,0.74546,0.73347,0.7704,0.58673,0.93071,0.81159,0.82038,0.0003763,0.0003763,0.0003763
65,194.539,1.08986,0.93024,0.82786,0.76738,0.72355,0.78315,0.61276,0.85687,0.81721,0.81898,0.0003664,0.0003664,0.0003664
66,197.345,1.02208,0.91484,0.82233,0.76104,0.73395,0.77414,0.61523,0.82612,0.79891,0.81899,0.0003565,0.0003565,0.0003565
67,200.147,1.01595,0.90007,0.82623,0.72525,0.72635,0.75696,0.59339,0.84711,0.84061,0.81999,0.0003466,0.0003466,0.0003466
68,202.968,1.00012,0.89169,0.8241,0.74748,0.71789,0.768,0.61,0.83366,0.80932,0.82081,0.0003367,0.0003367,0.0003367
69,205.77,1.05161,0.91944,0.81975,0.72326,0.73865,0.76199,0.59407,0.87355,0.82582,0.82046,0.0003268,0.0003268,0.0003268
70,208.557,0.99993,0.88343,0.82381,0.73952,0.71731,0.75716,0.59845,0.82079,0.80162,0.81818,0.0003169,0.0003169,0.0003169
71,211.336,1.00295,0.92421,0.82853,0.77688,0.71727,0.78256,0.62237,0.81504,0.79288,0.81879,0.000307,0.000307,0.000307
72,214.147,0.99792,0.87016,0.81696,0.75104,0.74275,0.7799,0.61755,0.81324,0.79115,0.81673,0.0002971,0.0002971,0.0002971
73,216.896,0.96183,0.8618,0.81661,0.77843,0.73953,0.80055,0.6352,0.81143,0.77709,0.81608,0.0002872,0.0002872,0.0002872
74,219.708,1.02356,0.89034,0.82055,0.77386,0.7382,0.79425,0.6329,0.82109,0.77027,0.81716,0.0002773,0.0002773,0.0002773
75,222.548,1.0269,0.87632,0.8234,0.73508,0.74475,0.77508,0.61506,0.81133,0.77234,0.81613,0.0002674,0.0002674,0.0002674
76,225.356,1.05726,0.85827,0.82603,0.75624,0.74884,0.79076,0.61808,0.84756,0.77858,0.81944,0.0002575,0.0002575,0.0002575
77,228.232,1.02871,0.87091,0.82285,0.76664,0.73361,0.78742,0.6245,0.81667,0.77799,0.81688,0.0002476,0.0002476,0.0002476
78,231.034,1.01502,0.84928,0.81887,0.7586,0.73531,0.77722,0.61307,0.81039,0.76532,0.81672,0.0002377,0.0002377,0.0002377
79,233.851,0.93945,0.83608,0.819,0.76229,0.72425,0.77046,0.60364,0.83459,0.77326,0.81885,0.0002278,0.0002278,0.0002278
80,236.643,0.94804,0.84416,0.81658,0.72043,0.71656,0.74545,0.58867,0.82835,0.77464,0.8174,0.0002179,0.0002179,0.0002179
81,239.531,0.97653,0.86245,0.82226,0.74439,0.74586,0.78021,0.62239,0.80564,0.78824,0.81583,0.000208,0.000208,0.000208
82,242.387,0.95832,0.87095,0.81595,0.73953,0.7305,0.77076,0.60803,0.82535,0.80159,0.81708,0.0001981,0.0001981,0.0001981
83,245.199,0.97705,0.85061,0.8191,0.75063,0.7412,0.78077,0.62021,0.8079,0.76986,0.81657,0.0001882,0.0001882,0.0001882
84,247.974,0.98968,0.85348,0.82178,0.74592,0.74142,0.77693,0.61944,0.8039,0.76766,0.81666,0.0001783,0.0001783,0.0001783
85,250.808,0.98725,0.83072,0.81889,0.75622,0.75086,0.79072,0.6317,0.8026,0.75181,0.816,0.0001684,0.0001684,0.0001684
86,253.704,0.94579,0.82305,0.8187,0.74039,0.73507,0.7734,0.61815,0.80182,0.76288,0.81537,0.0001585,0.0001585,0.0001585
87,256.534,0.98705,0.8389,0.82014,0.75447,0.73329,0.77352,0.61749,0.80412,0.78217,0.81513,0.0001486,0.0001486,0.0001486
88,259.359,0.94767,0.8199,0.81993,0.73924,0.74247,0.76963,0.61286,0.80572,0.78742,0.81645,0.0001387,0.0001387,0.0001387
89,262.176,0.9581,0.81915,0.81809,0.75417,0.72763,0.77306,0.61794,0.8029,0.77419,0.81609,0.0001288,0.0001288,0.0001288
90,265.005,0.93328,0.82331,0.81843,0.75172,0.7479,0.78378,0.62771,0.79992,0.77108,0.81569,0.0001189,0.0001189,0.0001189
91,268.436,0.97986,0.87592,0.83261,0.74166,0.72887,0.7604,0.6061,0.79937,0.77582,0.81524,0.000109,0.000109,0.000109
92,271.118,0.90668,0.84726,0.82054,0.75209,0.7339,0.77799,0.61883,0.80033,0.77634,0.81584,9.91e-05,9.91e-05,9.91e-05
93,273.89,0.86548,0.80536,0.8183,0.75856,0.7208,0.76737,0.61215,0.79771,0.78975,0.81602,8.92e-05,8.92e-05,8.92e-05
94,276.601,0.90854,0.80057,0.82193,0.77328,0.72354,0.77532,0.61885,0.80763,0.79747,0.81531,7.93e-05,7.93e-05,7.93e-05
95,279.328,0.90742,0.8036,0.81892,0.75236,0.72512,0.77061,0.61304,0.81049,0.7994,0.8169,6.94e-05,6.94e-05,6.94e-05
96,282.058,0.88786,0.80181,0.8192,0.75542,0.71775,0.76652,0.61358,0.79472,0.77685,0.81559,5.95e-05,5.95e-05,5.95e-05
97,284.777,0.89177,0.793,0.82131,0.76153,0.71797,0.76855,0.60945,0.81155,0.77611,0.81709,4.96e-05,4.96e-05,4.96e-05
98,287.559,0.8878,0.80459,0.82421,0.76134,0.72627,0.7749,0.62002,0.79018,0.7713,0.81569,3.97e-05,3.97e-05,3.97e-05
99,290.308,0.86072,0.77736,0.81306,0.77122,0.72931,0.78565,0.63074,0.79476,0.7676,0.81642,2.98e-05,2.98e-05,2.98e-05
100,293.034,0.87891,0.77086,0.81637,0.77126,0.72448,0.78666,0.63315,0.7883,0.75836,0.81532,1.99e-05,1.99e-05,1.99e-05
