epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94224,2.52733,4.43388,1.192,0.00058,0.00099,0.00029,7e-05,1.47983,4.37973,0.88846,0.00023,0.00023,0.00023
2,8.92855,1.75849,3.95026,0.93373,0.05061,0.11506,0.07683,0.0302,1.4409,inf,0.8679,0.000465347,0.000465347,0.000465347
3,11.9696,1.75868,3.36497,0.8999,0.07075,0.13171,0.07079,0.03323,1.38986,3.79627,0.86314,0.000695942,0.000695942,0.000695942
4,14.8818,1.69461,2.72538,0.89624,0.23574,0.47572,0.35023,0.22231,1.36307,2.7505,0.86425,0.000921785,0.000921785,0.000921785
5,17.8921,1.69106,2.20653,0.88872,0.59655,0.44702,0.41473,0.27378,1.29834,1.90811,0.86265,0.0009604,0.0009604,0.0009604
6,20.9791,1.55114,1.87609,0.88094,0.34808,0.45134,0.37345,0.24873,1.34003,1.98668,0.87152,0.0009505,0.0009505,0.0009505
7,24.0829,1.46474,1.61899,0.85952,0.34547,0.55817,0.39654,0.26721,1.23221,1.85135,0.86302,0.0009406,0.0009406,0.0009406
8,27.2381,1.43199,1.51809,0.86415,0.51231,0.55226,0.44609,0.31784,1.16836,1.39538,0.85894,0.0009307,0.0009307,0.0009307
9,30.4601,1.37802,1.45623,0.86609,0.44977,0.60767,0.49289,0.34906,1.16938,1.58891,0.85436,0.0009208,0.0009208,0.0009208
10,33.6092,1.30422,1.40173,0.85638,0.45227,0.59602,0.49476,0.32826,1.23072,1.31422,0.86082,0.0009109,0.0009109,0.0009109
11,36.8299,1.37916,1.30974,0.85803,0.45891,0.5967,0.51728,0.37057,1.12178,1.23557,0.84822,0.000901,0.000901,0.000901
12,39.9713,1.32207,1.28308,0.85685,0.52041,0.62223,0.54053,0.39563,1.0976,1.17655,0.84953,0.0008911,0.0008911,0.0008911
13,43.0628,1.29783,1.29343,0.85695,0.51626,0.64384,0.56879,0.41552,1.07555,1.13487,0.84625,0.0008812,0.0008812,0.0008812
14,46.3916,1.33555,1.24759,0.85125,0.53045,0.61658,0.57483,0.39529,1.12526,1.09725,0.84538,0.0008713,0.0008713,0.0008713
15,49.443,1.25796,1.2023,0.84554,0.57825,0.58591,0.56872,0.41215,1.05009,1.12928,0.84167,0.0008614,0.0008614,0.0008614
16,52.4236,1.2694,1.18852,0.85344,0.59062,0.66889,0.63575,0.47724,0.98598,1.03452,0.83659,0.0008515,0.0008515,0.0008515
17,55.4303,1.22375,1.17779,0.8485,0.56609,0.65889,0.61781,0.44912,1.03307,1.06641,0.84164,0.0008416,0.0008416,0.0008416
18,58.3543,1.21477,1.16348,0.84184,0.59717,0.68057,0.63128,0.44905,1.08407,1.07564,0.84133,0.0008317,0.0008317,0.0008317
19,61.2307,1.23102,1.19389,0.85341,0.60058,0.66993,0.61088,0.44924,1.16514,1.05239,0.85213,0.0008218,0.0008218,0.0008218
20,64.1372,1.2306,1.14027,0.85143,0.61532,0.70877,0.68005,0.52336,0.95417,0.98658,0.83391,0.0008119,0.0008119,0.0008119
21,67.0736,1.22466,1.16517,0.85048,0.59329,0.6811,0.61632,0.45461,1.02463,1.07684,0.83781,0.000802,0.000802,0.000802
22,70.0763,1.18734,1.15602,0.8384,0.59275,0.67948,0.63378,0.46608,0.9729,1.00703,0.83642,0.0007921,0.0007921,0.0007921
23,72.9459,1.22556,1.14259,0.84771,0.61264,0.676,0.63365,0.44989,1.04396,1.08007,0.83881,0.0007822,0.0007822,0.0007822
24,75.8045,1.18958,1.16488,0.84327,0.6728,0.68667,0.68768,0.51636,0.95975,0.9888,0.83491,0.0007723,0.0007723,0.0007723
25,78.6509,1.13691,1.04788,0.84188,0.67864,0.68441,0.70603,0.54081,0.95901,0.96405,0.83506,0.0007624,0.0007624,0.0007624
26,81.5536,1.18688,1.1025,0.83461,0.67983,0.71537,0.72028,0.55623,0.92052,0.9247,0.82871,0.0007525,0.0007525,0.0007525
27,84.387,1.14296,1.06406,0.84289,0.66831,0.72098,0.71566,0.54213,0.93163,0.94471,0.82933,0.0007426,0.0007426,0.0007426
28,87.2434,1.19119,1.08604,0.84331,0.63647,0.6781,0.67419,0.51759,0.9759,0.98774,0.83337,0.0007327,0.0007327,0.0007327
29,90.2618,1.12303,1.09407,0.83555,0.68436,0.70036,0.72051,0.54425,0.9296,0.92358,0.82903,0.0007228,0.0007228,0.0007228
30,93.1921,1.10332,1.0188,0.83406,0.68198,0.7029,0.72467,0.55822,0.93785,0.90613,0.82931,0.0007129,0.0007129,0.0007129
31,96.0835,1.09516,0.99949,0.83487,0.67864,0.65324,0.67966,0.50552,1.02637,0.94471,0.8399,0.000703,0.000703,0.000703
