epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,21.9781,1.93471,3.10665,1.29006,0.00055,0.00119,0.00055,0.00119,0.00028,0.00015,nan,nan,nan,1,0.00031,0.00031,0.00031
2,39.944,1.3241,1.50207,0.99161,0.05056,0.03739,0.05056,0.03739,0.02976,0.01445,1.98408,inf,1.22055,2,0.00062896,0.00062896,0.00062896
3,57.3933,1.34417,1.3771,1.0052,0.08119,0.05092,0.08267,0.04791,0.04597,0.02472,1.75846,inf,1.61215,3,0.000946865,0.000946865,0.000946865
4,75.2476,1.40524,1.37972,1.03523,0.32361,0.23701,0.40623,0.18253,0.21149,0.13904,1.45142,3.45786,1.01222,4,0.00099505,0.00099505,0.00099505
5,92.4922,1.20749,1.35219,0.97919,0.34469,0.5354,0.36682,0.51144,0.31479,0.23256,0.91243,1.44387,0.80916,5,0.0009934,0.0009934,0.0009934
6,108.979,1.16476,1.19834,0.95993,0.41947,0.42723,0.42747,0.4175,0.33257,0.2518,0.86907,1.77091,0.79467,6,0.00099175,0.00099175,0.00099175
7,125.838,1.20313,1.23813,0.99422,0.30404,0.28456,0.33818,0.25338,0.19616,0.14504,0.94345,inf,0.82251,6,0.0009901,0.0009901,0.0009901
8,141.235,1.11969,1.21632,0.95554,0.54113,0.59899,0.6572,0.46273,0.53641,0.37519,0.96395,1.03609,0.82024,8,0.00098845,0.00098845,0.00098845
9,156.546,1.16751,1.19733,0.96148,0.44285,0.61961,0.70525,0.47982,0.52695,0.34858,1.14631,1.07822,0.88894,8,0.0009868,0.0009868,0.0009868
10,171.63,1.15717,1.14602,0.97288,0.57531,0.65195,0.65411,0.52077,0.6084,0.42608,0.94161,0.90155,0.80673,10,0.00098515,0.00098515,0.00098515
11,187.473,1.09993,1.10846,0.94628,0.50799,0.64176,0.57896,0.54048,0.56668,0.4288,0.798,0.98567,0.77775,11,0.0009835,0.0009835,0.0009835
12,203.111,1.01046,1.0614,0.93034,0.50757,0.62958,0.56511,0.57179,0.53746,0.40101,0.83635,0.94513,0.78523,11,0.00098185,0.00098185,0.00098185
13,218.461,1.04527,1.11436,0.93168,0.58196,0.65179,0.64619,0.56399,0.60955,0.46255,0.83776,0.89997,0.78805,13,0.0009802,0.0009802,0.0009802
14,233.928,1.06437,1.04561,0.92905,0.61436,0.65088,0.73417,0.50834,0.63733,0.47647,0.84595,0.84688,0.7889,14,0.00097855,0.00097855,0.00097855
15,248.991,1.02136,1.05468,0.93769,0.61421,0.66415,0.71067,0.51178,0.63204,0.40878,1.09377,0.85354,0.86224,14,0.0009769,0.0009769,0.0009769
16,264.236,1.11425,1.06787,0.94827,0.63295,0.65309,0.6805,0.59843,0.61777,0.4504,0.85757,0.87133,0.78831,14,0.00097525,0.00097525,0.00097525
17,279.236,1.08449,1.08519,0.9394,0.61918,0.63857,0.77874,0.45401,0.64088,0.45519,0.92134,0.89165,0.80374,14,0.0009736,0.0009736,0.0009736
18,294.695,1.04863,1.0597,0.94091,0.67062,0.68145,0.75633,0.57884,0.69348,0.53585,0.74993,0.79076,0.76437,18,0.00097195,0.00097195,0.00097195
19,310.063,1.01353,1.04324,0.9465,0.66215,0.64977,0.70405,0.61462,0.65477,0.50466,0.7479,0.78315,0.76369,18,0.0009703,0.0009703,0.0009703
20,325.032,0.99397,1.01352,0.91956,0.55816,0.68234,0.59115,0.64708,0.63668,0.47136,0.83591,0.88602,0.78236,18,0.00096865,0.00096865,0.00096865
21,339.912,1.06352,1.03773,0.93305,0.62065,0.66767,0.66896,0.58591,0.64513,0.50235,0.77052,0.8122,0.77067,18,0.000967,0.000967,0.000967
22,355.162,1.05854,1.02737,0.93764,0.62934,0.67256,0.7287,0.58152,0.67277,0.48257,0.84597,0.81209,0.7859,18,0.00096535,0.00096535,0.00096535
23,370.162,1.01318,0.99742,0.9307,0.65801,0.67556,0.68398,0.6514,0.6979,0.53789,0.77387,0.75399,0.76873,23,0.0009637,0.0009637,0.0009637
24,385.246,0.97714,0.98201,0.91375,0.61756,0.66908,0.71719,0.59061,0.67129,0.52558,0.72832,0.77711,0.75997,23,0.00096205,0.00096205,0.00096205
25,400.331,1.00254,1.01073,0.91448,0.6337,0.68788,0.71798,0.58355,0.67467,0.51381,0.79041,0.75494,0.76906,23,0.0009604,0.0009604,0.0009604
26,415.262,0.98847,0.94922,0.92458,0.66457,0.65335,0.73634,0.56728,0.6598,0.5077,0.732,0.76259,0.75733,23,0.00095875,0.00095875,0.00095875
27,430.533,0.94529,0.92568,0.91367,0.64979,0.68317,0.66552,0.6692,0.71152,0.5439,0.75054,0.81283,0.7621,27,0.0009571,0.0009571,0.0009571
28,445.466,0.90104,0.8974,0.90279,0.66913,0.6625,0.75717,0.54376,0.66852,0.53325,0.6905,0.82761,0.74949,27,0.00095545,0.00095545,0.00095545
29,460.248,0.92109,0.91014,0.90186,0.66682,0.69712,0.72703,0.60215,0.69282,0.5161,0.86871,0.76,0.79453,27,0.0009538,0.0009538,0.0009538
30,475.198,0.95232,0.90934,0.9062,0.65583,0.70287,0.71,0.63318,0.69152,0.55078,0.70198,0.7396,0.75466,30,0.00095215,0.00095215,0.00095215
31,490.522,0.97176,0.95534,0.90695,0.58541,0.65551,0.70004,0.54923,0.64207,0.48624,0.8192,0.89604,0.79165,30,0.0009505,0.0009505,0.0009505
32,506.025,1.01918,0.9632,0.91803,0.6761,0.66466,0.64536,0.68312,0.68606,0.45709,0.96585,0.87308,0.8063,30,0.00094885,0.00094885,0.00094885
33,521.51,0.99723,0.93735,0.91488,0.66304,0.70728,0.63629,0.72984,0.70553,0.54738,0.72692,0.75959,0.75915,30,0.0009472,0.0009472,0.0009472
34,536.819,0.97338,0.92208,0.90415,0.64767,0.69768,0.76473,0.58328,0.6934,0.53469,0.75944,0.72677,0.76655,30,0.00094555,0.00094555,0.00094555
35,552.032,0.93691,0.89809,0.90055,0.63886,0.7227,0.71147,0.63342,0.71564,0.55905,0.71109,0.72366,0.75169,35,0.0009439,0.0009439,0.0009439
36,567.288,0.90946,0.90797,0.89799,0.67055,0.70836,0.73767,0.64785,0.73289,0.57227,0.71511,0.71416,0.75409,36,0.00094225,0.00094225,0.00094225
37,582.314,1.00301,0.89885,0.9283,0.64634,0.64926,0.73843,0.50167,0.62923,0.42995,1.09875,0.8626,0.86906,36,0.0009406,0.0009406,0.0009406
38,597.278,1.3385,1.03432,1.00034,0.62116,0.69016,0.70264,0.54888,0.656,0.41159,1.15836,0.86651,0.86604,36,0.00093895,0.00093895,0.00093895
39,612.748,1.31093,1.08603,0.97184,0.60664,0.64042,0.64092,0.59998,0.63224,0.45421,0.8399,0.84395,0.78489,36,0.0009373,0.0009373,0.0009373
40,627.623,1.0534,0.97131,0.93829,0.61076,0.7248,0.70463,0.63659,0.71077,0.52653,0.7875,0.76705,0.76585,36,0.00093565,0.00093565,0.00093565
41,642.825,0.96569,0.96527,0.90099,0.69724,0.70554,0.74991,0.64459,0.73062,0.57195,0.71456,0.71793,0.75438,36,0.000934,0.000934,0.000934
42,657.606,0.89781,0.88306,0.90257,0.67596,0.69895,0.77789,0.56549,0.7094,0.55538,0.75901,0.70492,0.76296,36,0.00093235,0.00093235,0.00093235
43,672.685,0.92363,0.87519,0.8915,0.68304,0.70566,0.74352,0.62554,0.71377,0.55888,0.76343,0.72841,0.76545,36,0.0009307,0.0009307,0.0009307
